$m_S$ [GeV$/c^{2}$],Observed limit
0.025,3.7643e-05
0.02566,3.6843e-05
0.02647,3.5934e-05
0.02728,3.507e-05
0.02809,3.4247e-05
0.0289,3.3451e-05
0.02972,3.2683e-05
0.03053,3.1964e-05
0.03134,3.139e-05
0.03216,3.0711e-05
0.03297,3.0073e-05
0.03379,2.947e-05
0.03461,2.8898e-05
0.03542,2.8365e-05
0.03624,2.7863e-05
0.03706,2.7058e-05
0.03788,2.6541e-05
0.0387,2.606e-05
0.03953,2.5588e-05
0.04035,2.5153e-05
0.04118,2.4729e-05
0.042,2.4336e-05
0.04283,2.3955e-05
0.04366,2.3592e-05
0.04449,2.3258e-05
0.04532,2.2936e-05
0.04615,2.2627e-05
0.04699,2.2329e-05
0.04783,2.2046e-05
0.04866,2.1778e-05
0.0495,2.1522e-05
0.05034,3.0131e-05
0.05118,2.9433e-05
0.05203,2.8756e-05
0.05287,2.8115e-05
0.05372,2.7491e-05
0.05457,2.6892e-05
0.05542,2.6316e-05
0.05627,2.5763e-05
0.05713,2.5223e-05
0.05798,2.471e-05
0.05884,2.4209e-05
0.0597,2.3727e-05
0.06056,2.3263e-05
0.06142,2.2814e-05
0.06229,2.2376e-05
0.06315,2.1957e-05
0.06402,2.1549e-05
0.06489,2.1154e-05
0.06576,2.0772e-05
0.06664,2.0397e-05
0.06751,2.004e-05
0.06839,1.9689e-05
0.06927,1.9349e-05
0.07015,1.9019e-05
0.07103,1.8787e-05
0.07192,1.7987e-05
0.0728,1.7173e-05
0.07369,1.7012e-05
0.07459,1.6522e-05
0.07548,1.6374e-05
0.07637,1.5895e-05
0.07727,1.5755e-05
0.07817,1.5277e-05
0.07907,1.4425e-05
0.07997,1.3923e-05
0.08088,1.3809e-05
0.08178,1.3699e-05
0.08269,1.359e-05
0.0836,1.3093e-05
0.08452,1.2992e-05
0.08543,1.2895e-05
0.08635,1.28e-05
0.08727,1.2983e-05
0.08819,1.2892e-05
0.08911,1.2802e-05
0.09003,1.2715e-05
0.09096,1.1918e-05
0.09189,1.2123e-05
0.09282,1.2045e-05
0.09375,1.197e-05
0.09468,1.123e-05
0.09562,1.1708e-05
0.09656,1.1638e-05
0.09749,1.1278e-05
0.09844,1.0563e-05
0.09938,1.0504e-05
0.10032,1.0447e-05
0.10127,1.0401e-05
0.10222,1.0356e-05
0.10317,1.0308e-05
0.10412,1.0263e-05
0.10507,1.0218e-05
0.10603,1.0183e-05
0.10698,9.8275e-06
0.10794,9.7929e-06
0.1089,9.7637e-06
0.10986,9.4262e-06
0.11082,9.3966e-06
0.11179,9.3672e-06
0.11275,9.3358e-06
0.11372,9.0084e-06
0.11469,8.9759e-06
0.11566,8.9368e-06
0.11663,8.9278e-06
0.1176,8.9001e-06
0.11858,8.6e-06
0.11956,8.5547e-06
0.12053,8.6036e-06
0.12151,8.2787e-06
0.12249,7.6933e-06
0.12347,7.442e-06
0.12445,7.2098e-06
0.12544,6.9866e-06
0.12642,6.7807e-06
0.12741,6.5778e-06
0.1284,6.3977e-06
0.12938,6.2586e-06
0.13037,6.0855e-06
0.13136,5.9516e-06
0.13236,5.8152e-06
0.13335,5.6859e-06
0.13434,5.7392e-06
0.13534,5.6179e-06
0.13633,5.5033e-06
0.13733,5.3908e-06
0.13833,5.2835e-06
0.13932,5.1814e-06
0.14032,5.0825e-06
0.14132,4.988e-06
0.14233,5.0665e-06
0.14333,4.9758e-06
0.14433,4.8874e-06
0.14533,4.8004e-06
0.14634,4.7136e-06
0.14734,4.6397e-06
0.14835,4.5622e-06
0.14935,4.6524e-06
0.15036,4.5993e-06
0.15137,4.4222e-06
0.15238,4.4081e-06
0.15338,4.3962e-06
0.15439,4.3819e-06
0.1554,4.4293e-06
0.15641,4.4143e-06
0.15743,4.3981e-06
0.15844,4.3822e-06
0.15945,4.362e-06
0.16046,4.215e-06
0.16148,4.2158e-06
0.16249,4.2021e-06
0.1635,4.1859e-06
0.16452,4.1686e-06
0.16554,4.1504e-06
0.16655,4.1324e-06
0.16757,4.1136e-06
0.16859,4.0941e-06
0.1696,4.0739e-06
0.17062,3.9131e-06
0.17164,3.8933e-06
0.17266,3.8731e-06
0.17368,3.852e-06
0.1747,3.8316e-06
0.17572,3.6814e-06
0.17674,3.6597e-06
0.17776,3.6393e-06
0.17879,3.619e-06
0.17981,3.5936e-06
0.18083,3.4527e-06
0.18186,3.4299e-06
0.18288,3.4066e-06
0.18391,3.383e-06
0.18493,3.3603e-06
0.18596,3.2292e-06
0.18699,3.2064e-06
0.18802,3.1835e-06
0.18905,3.1604e-06
0.19008,3.2172e-06
0.19111,3.1941e-06
0.19214,3.0824e-06
0.19317,3.0508e-06
0.19421,3.0283e-06
0.19524,3.0054e-06
0.19628,2.9822e-06
0.19732,2.9584e-06
0.19835,2.8586e-06
0.19939,2.8273e-06
0.20043,2.8101e-06
0.20148,2.7872e-06
0.20252,2.7672e-06
0.20356,2.7472e-06
