$m_S$ [GeV$/c^{2}$],Observed limit
0.025,4.921e-07
0.02566,4.7907e-07
0.02647,4.6397e-07
0.02728,4.4934e-07
0.02809,4.3516e-07
0.0289,4.2186e-07
0.02972,4.1215e-07
0.03053,3.9949e-07
0.03134,3.8761e-07
0.03216,3.7338e-07
0.03297,3.6316e-07
0.03379,3.5277e-07
0.03461,3.4314e-07
0.03542,3.34e-07
0.03624,3.2532e-07
0.03706,3.1698e-07
0.03788,3.0904e-07
0.0387,3.0153e-07
0.03953,2.9435e-07
0.04035,2.8751e-07
0.04118,2.8102e-07
0.042,2.7479e-07
0.04283,2.6893e-07
0.04366,2.6375e-07
0.04449,2.5756e-07
0.04532,2.5247e-07
0.04615,2.4747e-07
0.04699,2.4311e-07
0.04783,2.3836e-07
0.04866,2.3406e-07
0.0495,2.2981e-07
0.05034,3.1117e-07
0.05118,3.0606e-07
0.05203,3.0114e-07
0.05287,2.9661e-07
0.05372,3.0278e-07
0.05457,2.884e-07
0.05542,2.7336e-07
0.05627,2.7198e-07
0.05713,2.7062e-07
0.05798,2.6227e-07
0.05884,2.6099e-07
0.0597,2.525e-07
0.06056,2.5133e-07
0.06142,2.5017e-07
0.06229,2.4159e-07
0.06315,2.4051e-07
0.06402,2.3778e-07
0.06489,2.3673e-07
0.06576,2.2889e-07
0.06664,2.2793e-07
0.06751,2.391e-07
0.06839,2.3808e-07
0.06927,2.3126e-07
0.07015,2.3027e-07
0.07103,2.1654e-07
0.07192,2.3076e-07
0.0728,2.2936e-07
0.07369,2.2283e-07
0.07459,2.2154e-07
0.07548,2.0944e-07
0.07637,2.0925e-07
0.07727,2.0138e-07
0.07817,2.0605e-07
0.07907,2.049e-07
0.07997,2.0377e-07
0.08088,2.0264e-07
0.08178,1.9604e-07
0.08269,1.9498e-07
0.0836,1.9395e-07
0.08452,1.9291e-07
0.08543,1.919e-07
0.08635,1.909e-07
0.08727,1.8991e-07
0.08819,1.9315e-07
0.08911,1.9217e-07
0.09003,1.9121e-07
0.09096,1.9025e-07
0.09189,1.893e-07
0.09282,1.8837e-07
0.09375,1.7803e-07
0.09468,1.7717e-07
0.09562,1.8428e-07
0.09656,1.8341e-07
0.09749,1.8256e-07
0.09844,1.7386e-07
0.09938,1.7307e-07
0.10032,1.7242e-07
0.10127,1.7198e-07
0.10222,1.7169e-07
0.10317,1.713e-07
0.10412,1.7094e-07
0.10507,1.71e-07
