$m_S$ [GeV$/c^{2}$],Observed limit
0.025,3.8716e-06
0.02566,3.687e-06
0.02647,3.4816e-06
0.02728,3.2922e-06
0.02809,3.1195e-06
0.0289,2.9611e-06
0.02972,2.8141e-06
0.03053,2.6797e-06
0.03134,2.5571e-06
0.03216,2.4506e-06
0.03297,2.343e-06
0.03379,2.2445e-06
0.03461,2.1521e-06
0.03542,2.0676e-06
0.03624,1.9892e-06
0.03706,1.9157e-06
0.03788,1.8465e-06
0.0387,1.7659e-06
0.03953,1.6924e-06
0.04035,1.634e-06
0.04118,1.5789e-06
0.042,1.528e-06
0.04283,1.4797e-06
0.04366,1.4343e-06
0.04449,1.3917e-06
0.04532,1.3515e-06
0.04615,1.3139e-06
0.04699,1.2779e-06
0.04783,1.2439e-06
0.04866,1.2123e-06
0.0495,1.182e-06
0.05034,1.6373e-06
0.05118,1.6004e-06
0.05203,1.5646e-06
0.05287,1.5316e-06
0.05372,1.4984e-06
0.05457,1.4666e-06
0.05542,1.4359e-06
0.05627,1.4064e-06
0.05713,1.3776e-06
0.05798,1.3502e-06
0.05884,1.3234e-06
0.0597,1.2976e-06
0.06056,1.2727e-06
0.06142,1.2487e-06
0.06229,1.2252e-06
0.06315,1.2028e-06
0.06402,1.1808e-06
0.06489,1.1596e-06
0.06576,1.139e-06
0.06664,1.1189e-06
0.06751,1.0997e-06
0.06839,1.0808e-06
0.06927,1.0625e-06
0.07015,1.0447e-06
0.07103,1.0276e-06
0.07192,1.0179e-06
0.0728,9.7609e-07
0.07369,9.332e-07
0.07459,9.2525e-07
0.07548,8.9987e-07
0.07637,8.926e-07
0.07727,8.6737e-07
0.07817,8.6065e-07
0.07907,8.3554e-07
0.07997,7.9024e-07
0.08088,7.6375e-07
0.08178,7.5814e-07
0.08269,7.5263e-07
0.0836,7.4728e-07
0.08452,7.2085e-07
0.08543,7.1592e-07
0.08635,7.1106e-07
0.08727,7.0635e-07
0.08819,7.1694e-07
0.08911,7.1233e-07
0.09003,7.0795e-07
0.09096,7.0356e-07
0.09189,6.6069e-07
0.09282,6.7248e-07
0.09375,6.6853e-07
0.09468,6.471e-07
0.09562,6.2479e-07
0.09656,6.5137e-07
0.09749,6.4785e-07
0.09844,6.2843e-07
0.09938,6.0922e-07
0.10032,6.0616e-07
0.10127,6.0342e-07
0.10222,6.0087e-07
0.10317,5.982e-07
0.10412,5.7737e-07
0.10507,5.7507e-07
0.10603,5.7279e-07
0.10698,5.7115e-07
0.10794,5.5177e-07
0.1089,5.5017e-07
0.10986,5.4857e-07
0.11082,5.3008e-07
0.11179,5.2847e-07
0.11275,5.2685e-07
0.11372,5.2507e-07
0.11469,5.0719e-07
0.11566,5.0499e-07
0.11663,5.0447e-07
0.1176,5.0294e-07
0.11858,5.0043e-07
0.11956,4.9739e-07
0.12053,4.9603e-07
0.12151,4.9394e-07
0.12249,4.9284e-07
0.12347,4.7432e-07
0.12445,4.735e-07
0.12544,4.7222e-07
0.12642,4.7089e-07
0.12741,4.696e-07
0.1284,4.6857e-07
0.12938,4.688e-07
0.13037,4.6748e-07
0.13136,4.8163e-07
0.13236,4.8115e-07
0.13335,4.8064e-07
0.13434,4.8e-07
0.13534,4.7938e-07
0.13633,4.7869e-07
0.13733,4.7736e-07
0.13833,4.77e-07
0.13932,4.761e-07
0.14032,4.7516e-07
0.14132,4.9029e-07
0.14233,4.8922e-07
0.14333,4.882e-07
0.14433,4.8701e-07
0.14533,4.8558e-07
0.14634,4.8404e-07
0.14734,4.8197e-07
0.14835,4.9913e-07
0.14935,4.9772e-07
0.15036,4.952e-07
0.15137,4.9473e-07
0.15238,4.7696e-07
0.15338,4.7595e-07
0.15439,4.7467e-07
0.1554,4.7334e-07
0.15641,4.7939e-07
0.15743,4.7796e-07
0.15844,4.6661e-07
0.15945,4.7725e-07
0.16046,4.6016e-07
0.16148,4.5955e-07
0.16249,4.5837e-07
0.1635,4.5678e-07
0.16452,4.5516e-07
0.16554,4.6983e-07
0.16655,4.6797e-07
0.16757,4.4985e-07
0.16859,4.4795e-07
0.1696,4.4601e-07
0.17062,4.4408e-07
0.17164,4.2705e-07
0.17266,4.2503e-07
0.17368,4.2292e-07
0.1747,4.2085e-07
0.17572,4.1869e-07
0.17674,4.0286e-07
0.17776,4.0067e-07
0.17879,3.9835e-07
0.17981,3.9603e-07
0.18083,3.9371e-07
0.18186,3.7868e-07
0.18288,3.7632e-07
0.18391,3.7389e-07
0.18493,3.7147e-07
0.18596,3.6901e-07
0.18699,3.6651e-07
0.18802,3.6175e-07
0.18905,3.5931e-07
0.19008,3.5687e-07
0.19111,3.544e-07
0.19214,3.5191e-07
0.19317,3.4941e-07
0.19421,3.3756e-07
0.19524,3.3427e-07
0.19628,3.317e-07
0.19732,3.2915e-07
0.19835,3.2665e-07
0.19939,3.2403e-07
0.20043,3.1353e-07
0.20148,3.1018e-07
0.20252,3.0867e-07
0.20356,3.0654e-07
0.20461,3.0439e-07
0.20566,3.0223e-07
0.20671,3.0007e-07
0.20776,2.9063e-07
0.20881,2.9361e-07
0.20987,2.9185e-07
0.21092,2.8959e-07
0.21198,2.8734e-07
0.212,2.873e-07
0.21306,2.9129e-07
0.21415,2.8127e-07
0.21523,2.803e-07
0.21632,2.7926e-07
0.2174,2.7828e-07
0.21849,2.7712e-07
0.21958,2.7614e-07
0.22067,2.7518e-07
0.22176,2.7426e-07
0.22286,2.7335e-07
0.22395,2.7247e-07
0.22505,2.7158e-07
0.22614,2.7016e-07
0.22724,2.6928e-07
0.22834,2.6201e-07
0.22944,2.6739e-07
0.23055,2.6652e-07
0.23165,2.6566e-07
0.23276,2.6481e-07
0.23386,2.6396e-07
0.23497,2.6311e-07
0.23608,2.5597e-07
0.23719,2.6195e-07
0.2383,2.6112e-07
0.23941,2.6029e-07
0.24053,2.5275e-07
0.24164,2.5194e-07
0.24276,2.5116e-07
0.24388,2.5035e-07
0.245,2.4959e-07
0.24612,2.488e-07
0.24724,2.4805e-07
0.24837,2.4727e-07
0.24949,2.4648e-07
0.25062,2.4535e-07
0.25174,2.4497e-07
0.25287,2.4458e-07
0.254,2.4419e-07
0.25514,2.4381e-07
0.25627,2.4342e-07
0.2574,2.4304e-07
0.25854,2.4266e-07
0.25967,2.4231e-07
0.26081,2.4185e-07
0.26195,2.4517e-07
0.26309,2.448e-07
0.26423,2.445e-07
0.26538,2.3453e-07
0.26652,2.3423e-07
0.26767,2.3386e-07
0.26881,2.3898e-07
0.26996,2.3861e-07
0.27111,2.3824e-07
0.27226,2.3787e-07
0.27342,2.375e-07
0.27457,2.3148e-07
0.27573,2.311e-07
0.27688,2.3078e-07
0.27804,2.3633e-07
0.2792,2.3601e-07
0.28036,2.3424e-07
0.28152,2.2943e-07
0.28268,2.284e-07
