$m_S$ [GeV$/c^{2}$],Observed limit
0.025,4.7104e-07
0.02566,4.5417e-07
0.02647,4.3476e-07
0.02728,4.1632e-07
0.02809,3.9881e-07
0.0289,3.8252e-07
0.02972,3.6972e-07
0.03053,3.546e-07
0.03134,3.4049e-07
0.03216,3.2443e-07
0.03297,3.1269e-07
0.03379,3.0083e-07
0.03461,2.8992e-07
0.03542,2.7961e-07
0.03624,2.6992e-07
0.03706,2.6059e-07
0.03788,2.5187e-07
0.0387,2.4363e-07
0.03953,2.3574e-07
0.04035,2.2844e-07
0.04118,2.2135e-07
0.042,2.1477e-07
0.04283,2.0844e-07
0.04366,2.0286e-07
0.04449,1.9664e-07
0.04532,1.9134e-07
0.04615,1.8615e-07
0.04699,1.8154e-07
0.04783,1.7669e-07
0.04866,1.7224e-07
0.0495,1.6804e-07
0.05034,2.2661e-07
0.05118,2.2314e-07
0.05203,2.1973e-07
0.05287,2.1674e-07
0.05372,2.2149e-07
0.05457,2.1121e-07
0.05542,2.0042e-07
0.05627,1.9964e-07
0.05713,1.9886e-07
0.05798,1.9294e-07
0.05884,1.9222e-07
0.0597,1.8618e-07
0.06056,1.8553e-07
0.06142,1.8489e-07
0.06229,1.7875e-07
0.06315,1.7816e-07
0.06402,1.7634e-07
0.06489,1.7577e-07
0.06576,1.7016e-07
0.06664,1.6961e-07
0.06751,1.7813e-07
0.06839,1.776e-07
0.06927,1.7273e-07
0.07015,1.7231e-07
0.07103,1.6289e-07
0.07192,1.7454e-07
0.0728,1.7442e-07
0.07369,1.7037e-07
0.07459,1.703e-07
0.07548,1.6188e-07
0.07637,1.6262e-07
0.07727,1.5736e-07
0.07817,1.6191e-07
0.07907,1.6189e-07
0.07997,1.6188e-07
0.08088,1.6188e-07
0.08178,1.5747e-07
0.08269,1.5749e-07
0.0836,1.5753e-07
0.08452,1.5757e-07
0.08543,1.5763e-07
0.08635,1.5769e-07
0.08727,1.5776e-07
0.08819,1.6135e-07
0.08911,1.6144e-07
0.09003,1.6154e-07
0.09096,1.6165e-07
0.09189,1.6177e-07
0.09282,1.619e-07
0.09375,1.539e-07
0.09468,1.5403e-07
0.09562,1.6114e-07
0.09656,1.6131e-07
0.09749,1.6148e-07
0.09844,1.5472e-07
0.09938,1.549e-07
0.10032,1.5424e-07
0.10127,1.5187e-07
0.10222,1.4971e-07
0.10317,1.4752e-07
0.10412,1.454e-07
0.10507,1.4369e-07
0.10603,1.4143e-07
0.10698,1.3956e-07
0.10794,1.378e-07
0.1089,1.3227e-07
0.10986,1.3062e-07
0.11082,1.2895e-07
0.11179,1.2731e-07
0.11275,1.2572e-07
0.11372,1.2414e-07
0.11469,1.2263e-07
0.11566,1.1776e-07
0.11663,1.163e-07
0.1176,1.1488e-07
0.11858,1.1355e-07
0.11956,1.1225e-07
0.12053,1.1165e-07
0.12151,1.1427e-07
0.12249,1.1417e-07
0.12347,1.1141e-07
0.12445,1.1137e-07
0.12544,1.1109e-07
0.12642,1.1094e-07
0.12741,1.139e-07
0.1284,1.1386e-07
0.12938,1.1363e-07
0.13037,1.1361e-07
0.13136,1.1356e-07
0.13236,1.1331e-07
0.13335,1.1641e-07
0.13434,1.1627e-07
0.13534,1.1604e-07
0.13633,1.1619e-07
0.13733,1.16e-07
0.13833,1.1597e-07
0.13932,1.1933e-07
0.14032,1.1924e-07
0.14132,1.1915e-07
0.14233,1.1906e-07
0.14333,1.1898e-07
0.14433,1.2244e-07
0.14533,1.2237e-07
0.14634,1.2218e-07
0.14734,1.2192e-07
0.14835,1.2185e-07
0.14935,1.2581e-07
0.15036,1.254e-07
0.15137,1.2532e-07
0.15238,1.215e-07
0.15338,1.2132e-07
0.15439,1.2111e-07
0.1554,1.2091e-07
0.15641,1.2071e-07
0.15743,1.2065e-07
0.15844,1.2044e-07
0.15945,1.2349e-07
0.16046,1.2e-07
0.16148,1.1989e-07
0.16249,1.1976e-07
0.1635,1.1958e-07
0.16452,1.2306e-07
0.16554,1.2288e-07
0.16655,1.227e-07
0.16757,1.2253e-07
0.16859,1.1872e-07
0.1696,1.1855e-07
0.17062,1.1838e-07
0.17164,1.1822e-07
0.17266,1.1805e-07
0.17368,1.145e-07
0.1747,1.1434e-07
0.17572,1.1418e-07
0.17674,1.14e-07
0.17776,1.1386e-07
0.17879,1.1056e-07
0.17981,1.104e-07
0.18083,1.1025e-07
0.18186,1.101e-07
0.18288,1.0995e-07
0.18391,1.0685e-07
0.18493,1.0672e-07
0.18596,1.0658e-07
0.18699,1.0644e-07
0.18802,1.063e-07
0.18905,1.0616e-07
0.19008,1.0584e-07
0.19111,1.0569e-07
0.19214,1.0554e-07
0.19317,1.054e-07
0.19421,1.0524e-07
0.19524,1.0511e-07
0.19628,1.0494e-07
0.19732,1.023e-07
0.19835,1.0184e-07
0.19939,1.018e-07
0.20043,1.0121e-07
0.20148,9.969e-08
0.20252,9.8348e-08
0.20356,9.7042e-08
0.20461,9.574e-08
0.20566,9.2271e-08
0.20671,9.0908e-08
0.20776,8.9664e-08
0.20881,9.0497e-08
0.20987,8.9302e-08
0.21092,8.813e-08
0.21198,8.734e-08
0.212,8.7319e-08
0.21306,8.6353e-08
0.21415,8.5783e-08
0.21523,8.6311e-08
0.21632,8.8721e-08
0.2174,9.1502e-08
