$m_S$ [GeV$/c^{2}$],Observed limit
0.025,0.00029334
0.02566,0.00024652
0.02647,0.00020436
0.02728,0.00017314
0.02809,0.00014911
0.0289,0.00013022
0.02972,0.00011543
0.03053,0.000103
0.03134,9.2602e-05
0.03216,8.3749e-05
0.03297,7.6281e-05
0.03379,6.9816e-05
0.03461,6.4206e-05
0.03542,5.9387e-05
0.03624,5.5095e-05
0.03706,5.131e-05
0.03788,4.7943e-05
0.0387,4.4942e-05
0.03953,4.2216e-05
0.04035,3.9811e-05
0.04118,3.7599e-05
0.042,3.6011e-05
0.04283,3.4203e-05
0.04366,3.2556e-05
0.04449,3.105e-05
0.04532,2.9662e-05
0.04615,2.8392e-05
0.04699,2.7202e-05
0.04783,2.6103e-05
0.04866,2.5098e-05
0.0495,2.4147e-05
0.05034,3.3491e-05
0.05118,3.2539e-05
0.05203,3.1629e-05
0.05287,3.0771e-05
0.05372,2.9947e-05
0.05457,2.9163e-05
0.05542,2.8418e-05
0.05627,2.7705e-05
0.05713,2.7013e-05
0.05798,2.6365e-05
0.05884,2.5733e-05
0.0597,2.513e-05
0.06056,2.4553e-05
0.06142,2.4001e-05
0.06229,2.3462e-05
0.06315,2.2953e-05
0.06402,2.2458e-05
0.06489,2.1979e-05
0.06576,2.1522e-05
0.06664,2.1072e-05
0.06751,2.0647e-05
0.06839,2.0233e-05
0.06927,1.9836e-05
0.07015,1.9463e-05
0.07103,1.9163e-05
0.07192,1.8869e-05
0.0728,1.8587e-05
0.07369,1.8392e-05
0.07459,1.8247e-05
0.07548,1.6846e-05
0.07637,1.6719e-05
0.07727,1.6594e-05
0.07817,1.6143e-05
0.07907,1.6029e-05
0.07997,1.5582e-05
0.08088,1.5475e-05
0.08178,1.5376e-05
0.08269,1.5274e-05
0.0836,1.4475e-05
0.08452,1.4384e-05
0.08543,1.4295e-05
0.08635,1.421e-05
0.08727,1.413e-05
0.08819,1.3685e-05
0.08911,1.361e-05
0.09003,1.3538e-05
0.09096,1.3467e-05
0.09189,1.3022e-05
0.09282,1.2556e-05
0.09375,1.281e-05
0.09468,1.275e-05
0.09562,1.2311e-05
0.09656,1.1856e-05
0.09749,1.1802e-05
0.09844,1.1752e-05
0.09938,1.1704e-05
0.10032,1.1649e-05
0.10127,1.1569e-05
0.10222,1.149e-05
0.10317,1.1415e-05
0.10412,1.1347e-05
0.10507,1.0911e-05
0.10603,1.0849e-05
0.10698,1.0792e-05
0.10794,1.0393e-05
0.1089,1.0342e-05
0.10986,1.0295e-05
0.11082,1.0252e-05
0.11179,9.8724e-06
0.11275,9.8284e-06
0.11372,9.7818e-06
0.11469,9.7304e-06
0.11566,9.3939e-06
0.11663,9.3533e-06
0.1176,9.3167e-06
0.11858,9.2589e-06
0.11956,9.1865e-06
0.12053,9.165e-06
0.12151,9.1373e-06
0.12249,9.1302e-06
0.12347,8.7549e-06
0.12445,8.7493e-06
0.12544,8.7458e-06
0.12642,8.7319e-06
0.12741,8.7239e-06
0.1284,8.7242e-06
0.12938,8.7504e-06
0.13037,8.7441e-06
0.13136,8.747e-06
0.13236,8.7554e-06
0.13335,8.7617e-06
0.13434,8.7459e-06
0.13534,8.7543e-06
0.13633,8.7607e-06
0.13733,8.763e-06
0.13833,9.0716e-06
0.13932,9.0616e-06
0.14032,9.0725e-06
0.14132,9.0711e-06
0.14233,9.0689e-06
0.14333,9.0651e-06
0.14433,9.0608e-06
0.14533,9.049e-06
0.14634,9.0372e-06
0.14734,9.0138e-06
0.14835,9.0326e-06
0.14935,9.3597e-06
0.15036,9.3198e-06
0.15137,8.9907e-06
0.15238,8.9719e-06
0.15338,8.9542e-06
0.15439,8.6244e-06
0.1554,8.8208e-06
0.15641,8.7964e-06
0.15743,8.9953e-06
0.15844,8.6999e-06
0.15945,8.6647e-06
0.16046,8.639e-06
0.16148,8.3364e-06
0.16249,8.3155e-06
0.1635,8.2851e-06
0.16452,8.5597e-06
0.16554,8.5245e-06
0.16655,8.4878e-06
0.16757,8.1453e-06
0.16859,8.1059e-06
0.1696,8.0647e-06
0.17062,8.0221e-06
0.17164,7.6996e-06
0.17266,7.6552e-06
0.17368,7.6084e-06
0.1747,7.5617e-06
0.17572,7.2595e-06
0.17674,7.2094e-06
0.17776,7.1599e-06
0.17879,7.1075e-06
0.17981,7.0534e-06
0.18083,6.9986e-06
0.18186,6.7119e-06
0.18288,6.6563e-06
0.18391,6.599e-06
0.18493,6.5415e-06
0.18596,6.4827e-06
0.18699,6.4234e-06
0.18802,6.3215e-06
0.18905,6.2624e-06
0.19008,6.2033e-06
0.19111,6.1434e-06
0.19214,6.0832e-06
0.19317,6.0225e-06
0.19421,5.9608e-06
0.19524,5.9005e-06
0.19628,5.8386e-06
0.19732,5.7739e-06
0.19835,5.7114e-06
0.19939,5.5021e-06
0.20043,5.4612e-06
0.20148,5.4508e-06
0.20252,5.4302e-06
0.20356,5.4198e-06
0.20461,5.4087e-06
0.20566,5.3972e-06
0.20671,5.3855e-06
0.20776,5.3693e-06
0.20881,5.468e-06
0.20987,5.4621e-06
0.21092,5.5606e-06
0.21198,5.5464e-06
0.212,5.5469e-06
0.21306,5.3082e-06
