ma_GeV,BR
0.0,1.4532410679618517e-10
0.0008196721311475447,1.4532410679618517e-10
0.001229508196721317,1.6378937069540614e-10
0.0016393442622950824,1.791623512260071e-10
0.0020491803278688547,1.9597821250882563e-10
0.002459016393442627,2.1760172691812414e-10
0.0028688524590163994,2.344929931355521e-10
0.003278688524590165,2.6826957952797273e-10
0.003688524590163937,2.9344888759617144e-10
0.0040983606557377095,3.209914809683112e-10
0.004508196721311475,3.4590834461343567e-10
0.004918032786885247,3.727593720314938e-10
0.0053278688524590195,4.1388826870392916e-10
0.005737704918032792,4.595551764055001e-10
0.006147540983606557,4.95228003713452e-10
0.00655737704918033,5.49869638296703e-10
0.006967213114754102,6.014794296281799e-10
0.007377049180327874,6.579332246575682e-10
0.00778688524590164,7.090050861192347e-10
0.008196721311475412,7.755510490149438e-10
0.008606557377049184,8.357529574264796e-10
0.00901639344262295,9.006280202112795e-10
0.009426229508196722,9.70538989520764e-10
0.009836065573770494,1.0616320618413008e-09
0.010245901639344267,1.1787686347935867e-09
0.010655737704918032,1.2702701826031973e-09
0.011065573770491804,1.389495494373136e-09
0.011475409836065577,1.5660484528328325e-09
0.011885245901639349,1.7130349897073658e-09
0.012295081967213115,1.873817422860387e-09
0.012704918032786887,2.0496906107066366e-09
0.01311475409836066,2.208797205397575e-09
0.013524590163934425,2.416111002931905e-09
0.013934426229508197,2.603660866342389e-09
0.01434426229508197,2.848035868435805e-09
0.014754098360655742,3.1153474758375957e-09
0.015163934426229507,3.4077484777388085e-09
0.01557377049180328,3.840745977815442e-09
0.01598360655737705,4.201231599618963e-09
0.016393442622950824,4.595551764055001e-09
0.01680327868852459,5.026882121429434e-09
0.01721311475409836,5.66561100825243e-09
0.017622950819672134,6.197375232963906e-09
0.0180327868852459,6.779049906922799e-09
0.018442622950819672,7.415319536585766e-09
0.018852459016393444,8.233498592289185e-09
0.019262295081967216,9.141952512600793e-09
0.019672131147540982,1e-08
0.020081967213114754,1.0938582306368927e-08
0.020491803278688527,1.1965258287320712e-08
0.0209016393442623,1.2894057731855782e-08
0.021311475409836064,1.389495494373136e-08
0.021721311475409837,1.519911082952933e-08
0.02213114754098361,1.6378937069540648e-08
0.022540983606557374,1.791623512260071e-08
0.022950819672131154,1.9597821250882563e-08
0.02336065573770492,2.1119096016108988e-08
0.023770491803278684,2.310129700083158e-08
0.024180327868852464,2.4894527978983465e-08
0.02459016393442623,2.682695795279727e-08
0.024999999999999994,2.9344888759617086e-08
0.025409836065573774,3.209914809683119e-08
0.02581967213114754,3.4590834461343564e-08
0.026229508196721305,3.7275937203149377e-08
0.026639344262295084,4.077459071436891e-08
0.02704918032786885,4.460162165376296e-08
