ctau_m,BR
1.733029558733649,8.463231720621133e-08
1.7936237390528278,5.670523941381169e-08
1.856336552992564,6.061898993497573e-08
1.921242077112597,4.0615859883769715e-08
1.988416978008356,1.8233480008684387e-08
2.0579406028697806,1.9491940296028503e-08
2.1298950732064377,9.047357242349275e-09
2.2043653818497058,9.671798642975423e-09
2.2814394933465474,6.9275506561293925e-09
2.361208447863487,5.130325584896987e-09
2.4437664687235348,3.799357365039398e-09
2.529211073703036,2.0153376859417353e-09
2.6176431902199706,2.154434690031878e-09
2.7091672745497064,1.6496480740980207e-09
2.803891435209053,1.2631335639768367e-09
2.901927560654375,9.671798642975424e-10
3.0033914514445437,7.656988080124188e-10
3.1084029570249165,4.6415888336127727e-10
3.2170861172938463,4.961947603002898e-10
3.32956930911896,3.109951549940202e-10
3.4459853979763175,3.215484176977703e-10
3.566471894891472,2.632024060704872e-10
3.6911711188679224,1.7635054720471387e-10
3.8202303649947273,1.8233480008684387e-10
3.9538020784318832,1.2631335639768367e-10
4.092044034479024,1.3059965479060547e-10
4.235119524940031,9.354368899026163e-11
4.3831975510038275,7.916819159262985e-11
4.536453022869057,6.927550656129393e-11
4.695066966348516,6.061898993497572e-11
4.859226736697403,5.304417279843926e-11
5.029126239917861,4.641588833612773e-11
5.204966161801346,4.799095809323878e-11
5.386954204979261,4.3419134227214444e-11
5.5753053342618974,3.324597932270932e-11
5.770242030555533,3.0078825180430957e-11
5.97199455365749,2.7213387683753087e-11
6.180801214239723,2.8136842678706835e-11
6.396908655342066,2.545640673860415e-11
6.620572143707693,2.0837258511429578e-11
6.852055871304992,2.0837258511429578e-11
7.0916332673918365,1.9491940296028503e-11
7.339587321491077,1.8233480008684385e-11
7.596210917658575,1.5431416638680932e-11
7.861807180438682,1.4435116387279175e-11
8.1366898329159,1.3503140378698722e-11
8.421183567285443,1.3961353908567902e-11
8.715624428380657,1.3059965479060547e-11
9.020360210610162,1.1428020598100332e-11
9.335750868773577,1.1428020598100332e-11
