tau_ps,BR
104.27538888537687,5.443668218027347e-05
108.73356727196557,3.1052696796075185e-05
113.38235012178497,9.10684501989366e-05
118.22988651687085,4.730897803918262e-05
123.28467394420659,2.457645208876074e-05
128.55557319139032,1.2183688336234774e-05
134.05182387914726,2.483326711892646e-06
139.7830606579213,1.8755890885485035e-06
145.75933009692972,2.8574717224523493e-06
151.99110829529332,1.6300075509162075e-06
158.48931924611142,3.6481841270754384e-07
165.26535398566878,2.2851592901717657e-07
172.33109056135083,1.4999342938599676e-07
179.69891485325957,1.031677640163829e-07
187.3817422860383,8.55617994627659e-08
195.39304046896112,6.166911557999556e-08
203.74685280397102,4.241695645802726e-08
212.45782310305674,2.4196200707851936e-08
221.5412212581185,1.8274731961220265e-08
231.0129700083158,1.3171608879034465e-08
240.88967285183034,8.250467451203841e-09
251.18864315095823,1.4463416090052492e-08
261.9279344815627,1.0923824590508423e-08
273.1263722800847,4.090139768371498e-09
284.8035868435805,2.813260395103471e-09
296.980047740645,4.090139768371498e-09
309.67709969353547,2.813260395103471e-09
322.9169999943897,1.2120525363130545e-09
336.72295752114223,1.604787774689389e-09
351.11917342151344,1.3309247425045234e-09
366.13088353640325,5.221952981458329e-10
381.7844026370508,4.5382130031976754e-10
398.1071705534969,6.296468941495128e-10
415.1278002752295,4.5382130031976754e-10
432.87612810830615,3.59173875216454e-10
451.3832659768975,1.9552234092615308e-10
470.6816559609249,2.470452589214563e-10
490.8051271653861,1.9552234092615308e-10
511.78895502107383,1.4767270349581168e-10
533.6699231206312,1.3448324244050685e-10
556.4863876983289,1.0643587532140072e-10
580.2783448666186,8.82721953579171e-11
605.0875007272948,7.320821527306565e-11
630.957344480193,5.529217283440862e-11
657.9332246575682,5.276520500301722e-11
686.0624286177782,3.0099224396434525e-11
715.3942654376493,3.629271122282616e-11
745.980152348794,3.154070030456891e-11
777.8737048694303,2.4962679247207106e-11
811.1308307896873,1.63850191234144e-11
845.8098281751346,1.9756547862974238e-11
881.9714875603578,1.2967815327102911e-11
919.6791985117064,1.1269865575099335e-11
958.999060745997,9.794238032936566e-12
1000.0,8.122814703356737e-12
1042.7538888537688,1.026329191874646e-11
1087.3356727196556,8.511822790306495e-12
1133.8235012178498,7.397321462878346e-12
1182.2988651687062,7.059248415339832e-12
1232.8467394420659,5.087990308372841e-12
1285.5557319139032,4.633553920107251e-12
1340.5182387914729,5.331658229969169e-12
1397.8306065792133,3.8428206241745355e-12
1457.5933009692972,3.339658282544468e-12
1519.9110829529332,3.187028920824432e-12
1584.893192461114,2.9023778455867103e-12
1652.653539856688,3.187028920824432e-12
1723.3109056135083,3.0413750398536767e-12
1796.9891485325957,2.297067804898601e-12
1873.817422860383,2.4070762176238375e-12
1953.9304046896111,2.4070762176238375e-12
2037.4685280397102,2.297067804898601e-12
2124.5782310305676,1.7349128046225954e-12
2215.412212581185,1.9050645979290534e-12
2310.1297000831582,1.579958203472706e-12
2408.8967285183035,1.5077508122552294e-12
2511.886431509582,1.6556236643553116e-12
2619.279344815627,1.579958203472706e-12
2731.2637228008466,1.5077508122552294e-12
2848.035868435799,1.3730852975827184e-12
2969.8004774064498,1.3103324304248416e-12
3096.7709969353546,1.250447500418041e-12
3229.1699999438965,1.086719303364618e-12
3367.2295752114223,1.1387631591820537e-12
3511.1917342151346,1.1387631591820537e-12
3661.3088353640323,1.0370539605035479e-12
3817.844026370508,1.0370539605035479e-12
3981.071705534969,1.0370539605035479e-12
4151.278002752295,9.012665922665023e-13
4328.7612810830615,9.44428969557275e-13
4513.832659768975,8.600768258055989e-13
4706.816559609249,9.44428969557275e-13
4908.0512716538515,9.012665922665023e-13
5117.889550210738,8.207695177378743e-13
5336.699231206313,9.012665922665023e-13
5564.863876983289,9.012665922665023e-13
5802.783448666185,8.600768258055989e-13
6050.875007272948,8.600768258055989e-13
6309.57344480193,8.207695177378743e-13
6579.332246575683,8.600768258055989e-13
6860.624286177782,8.207695177378743e-13
7153.942654376493,8.207695177378743e-13
7459.801523487941,7.474620795091697e-13
7778.737048694303,8.207695177378743e-13
8111.308307896872,8.207695177378743e-13
8458.098281751329,8.207695177378743e-13
8819.714875603579,8.207695177378743e-13
9196.791985117065,7.474620795091697e-13
9589.99060745997,8.207695177378743e-13
10000.0,8.600768258055989e-13
10427.538888537687,8.600768258055989e-13
10873.356727196557,8.207695177378743e-13
11338.235012178497,8.600768258055989e-13
11822.988651687061,8.600768258055989e-13
12328.467394420659,9.012665922665023e-13
12855.557319139032,9.012665922665023e-13
13405.182387914729,9.012665922665023e-13
13978.306065792132,9.012665922665023e-13
14575.93300969297,8.600768258055989e-13
15199.11082952933,9.44428969557275e-13
15848.93192461114,9.44428969557275e-13
16526.53539856688,9.896584275868399e-13
17233.109056135083,9.896584275868399e-13
17969.891485325956,9.896584275868399e-13
18738.17422860383,1.0370539605035479e-12
19539.30404689611,1.0370539605035479e-12
20374.68528039706,9.896584275868399e-13
21245.782310305673,1.086719303364618e-12
22154.12212581185,1.086719303364618e-12
23101.29700083158,1.0370539605035479e-12
24088.967285183036,1.086719303364618e-12
25118.864315095823,1.250447500418041e-12
26192.793448156273,1.250447500418041e-12
27312.63722800847,1.1387631591820537e-12
28480.35868435799,1.3103324304248416e-12
29698.0047740645,1.3730852975827184e-12
30967.709969353546,1.250447500418041e-12
32291.699999438966,1.3730852975827184e-12
33672.29575211422,1.5077508122552294e-12
35111.917342151275,1.5077508122552294e-12
36613.08835364033,1.5077508122552294e-12
38178.44026370508,1.4388434496935576e-12
39810.71705534969,1.5077508122552294e-12
41512.780027522946,1.6556236643553116e-12
43287.612810830615,1.579958203472706e-12
45138.32659768975,1.6556236643553116e-12
47068.165596092396,1.8179991651759116e-12
49080.512716538615,1.9050645979290534e-12
51178.895502107385,1.9962996638292814e-12
53366.99231206302,2.0919040499398932e-12
55648.63876983301,1.9050645979290534e-12
58027.83448666185,2.192087006497216e-12
60508.75007272936,2.192087006497216e-12
63095.73444801943,2.4070762176238375e-12
65793.32246575682,2.192087006497216e-12
68606.24286177782,2.5223530211403868e-12
71539.42654376478,2.643150522893108e-12
74598.0152348794,2.643150522893108e-12
77787.37048694304,2.5223530211403868e-12
81113.08307896856,2.9023778455867103e-12
84580.98281751346,3.0413750398536767e-12
88197.14875603578,3.187028920824432e-12
91967.91985117045,3.187028920824432e-12
95899.9060745999,3.339658282544468e-12
100000.0,3.499597186360859e-12
104275.38888537665,3.667195692085532e-12
108733.56727196579,3.667195692085532e-12
113382.35012178497,3.499597186360859e-12
118229.88651687061,3.667195692085532e-12
123284.67394420634,4.4217908241588486e-12
128555.57319139031,4.219705744173738e-12
134051.82387914727,4.4217908241588486e-12
139783.06065792104,4.633553920107251e-12
145759.3300969297,4.4217908241588486e-12
151991.10829529332,5.331658229969169e-12
158489.3192461111,5.331658229969169e-12
165265.35398566912,5.586995603041724e-12
172331.09056135084,5.854561286946568e-12
179698.9148532592,6.134940905260899e-12
187381.74228603867,6.428748127542989e-12
195393.04046896112,6.736626012476628e-12
203746.8528039706,6.736626012476628e-12
212457.82310305716,7.059248415339832e-12
221541.2212581185,7.397321462878346e-12
231012.9700083158,7.397321462878346e-12
240889.67285182985,7.059248415339832e-12
251188.6431509582,8.511822790306495e-12
261927.93448156273,7.751585098812023e-12
273126.3722800841,8.919460785390164e-12
