ctau_m,BR
8.421183567285443,6.927550656129378e-08
8.715624428380657,4.1994112349794215e-08
9.020360210610162,7.405684692262427e-08
9.335750868773577,1.8852212170408686e-08
9.662168943241257,3.0078825180430956e-08
10.0,2.015337685941731e-08
10.349643086084784,1.3059965479060521e-08
10.71151120093427,8.750421749906793e-09
11.08603178422691,6.061898993497572e-09
11.473647220774032,2.0153376859417353e-09
11.874815363065988,3.0078825180430956e-09
12.29001007208894,2.0837258511429578e-09
12.719721777050767,7.916819159262985e-10
13.164458054677555,5.862946645916391e-10
13.624744228764685,4.4892512582186077e-10
14.1011239906908,6.061898993497573e-10
14.594160041627747,4.6415888336127727e-10
15.104434757204745,2.083725851142958e-10
15.63255087541228,1.6496480740980206e-10
16.179132208557952,2.1544346900318779e-10
16.744824380115347,1.705626983142525e-10
17.33029558733649,1.3503140378698722e-10
17.936237390528277,1.0690192046030012e-10
18.56336552992564,5.670523941381169e-11
19.21242077112597,4.799095809323878e-11
19.88416978008356,5.862946645916391e-11
20.579406028697804,3.324597932270932e-11
21.298950732064377,4.061585988376988e-11
22.043653818497056,3.324597932270932e-11
22.814394933465476,2.9091634056238714e-11
23.61208447863487,2.4620924014946205e-11
24.437664687235348,1.5431416638680932e-11
25.292110737030363,1.8233480008684385e-11
26.176431902199706,1.5955064004448257e-11
27.091672745497064,1.3961353908567902e-11
28.03891435209053,9.354368899026163e-12
29.019275606543747,1.0690192046029968e-11
30.033914514445435,9.354368899026163e-12
31.084029570249168,6.700187503509576e-12
32.170861172938466,7.656988080124188e-12
33.2956930911896,6.927550656129364e-12
34.459853979763174,6.267602560047399e-12
35.66471894891472,4.6415888336127725e-12
36.91171118867923,5.130325584896987e-12
38.202303649947275,4.6415888336127725e-12
39.53802078431883,3.674661940736688e-12
40.92044034479024,4.061585988376988e-12
42.35119524940031,3.2154841769777027e-12
43.831975510038276,3.0078825180430958e-12
45.36453022869057,3.2154841769777027e-12
46.95066966348516,3.0078825180430958e-12
48.592267366974035,2.9091634056238714e-12
50.29126239917861,2.7213387683753087e-12
52.04966161801346,2.303132058707001e-12
53.869542049792614,2.4620924014946203e-12
55.753053342618976,2.0837258511429577e-12
57.70242030555533,2.015337685941735e-12
59.7199455365749,2.154434690031878e-12
61.80801214239723,2.0837258511429577e-12
63.96908655342066,1.8233480008684386e-12
66.20572143707693,1.7635054720471387e-12
68.52055871304991,1.705626983142525e-12
70.91633267391836,1.649648074098014e-12
73.39587321491076,1.7635054720471387e-12
75.96210917658574,1.705626983142525e-12
78.6180718043869,1.543141663868093e-12
81.36689832915893,1.5955064004448257e-12
84.21183567285442,1.5955064004448257e-12
87.15624428380667,1.543141663868093e-12
90.20360210610153,1.543141663868093e-12
93.35750868773576,1.492495545051832e-12
96.62168943241257,1.492495545051832e-12
100.0000000000001,1.3961353908567903e-12
103.49643086084785,1.492495545051832e-12
107.1151120093427,1.4435116387279174e-12
110.86031784226921,1.4435116387279174e-12
114.7364722077402,1.4435116387279174e-12
118.74815363065987,1.4435116387279174e-12
122.9001007208894,1.4435116387279174e-12
127.19721777050754,1.3503140378698722e-12
131.64458054677553,1.4435116387279174e-12
136.24744228764683,1.3503140378698722e-12
141.01123990690814,1.4435116387279174e-12
145.9416004162773,1.4435116387279174e-12
151.04434757204746,1.4435116387279174e-12
156.32550875412295,1.4435116387279174e-12
161.79132208557937,1.4435116387279174e-12
167.44824380115347,1.492495545051832e-12
173.3029558733649,1.492495545051832e-12
179.3623739052826,1.492495545051832e-12
185.6336552992564,1.543141663868093e-12
192.12420771125971,1.4435116387279174e-12
198.84169780083582,1.543141663868093e-12
205.79406028697784,1.5955064004448257e-12
212.98950732064378,1.5955064004448257e-12
220.43653818497077,1.5955064004448257e-12
228.1439493346545,1.543141663868093e-12
236.1208447863487,1.649648074098014e-12
244.3766468723535,1.5955064004448257e-12
252.92110737030336,1.705626983142525e-12
261.76431902199704,1.649648074098014e-12
270.91672745497067,1.7635054720471387e-12
280.3891435209056,1.705626983142525e-12
290.1927560654372,1.8233480008684386e-12
300.33914514445433,1.7635054720471387e-12
310.84029570249197,1.9491940296028506e-12
321.7086117293843,2.015337685941735e-12
332.956930911896,2.0837258511429577e-12
344.59853979763176,1.9491940296028506e-12
356.64718948914685,2.015337685941735e-12
369.11711188679226,2.2275429519995566e-12
382.0230364994727,2.303132058707001e-12
395.3802078431887,2.381286194765587e-12
409.20440344790194,2.4620924014946203e-12
423.51195249400314,2.545640673860415e-12
438.3197551003832,2.381286194765587e-12
453.64530228690523,2.4620924014946203e-12
469.5066966348516,2.7213387683753087e-12
485.92267366974033,2.8136842678706836e-12
502.9126239917856,2.9091634056238714e-12
520.4966161801347,3.0078825180430958e-12
538.6954204979262,3.1099515499402016e-12
557.5305334261903,2.9091634056238714e-12
577.0242030555527,3.0078825180430958e-12
597.1994553657489,3.3245979322709315e-12
618.080121423973,3.4374143372862393e-12
639.690865534206,3.554059037181068e-12
662.0572143707693,3.674661940736688e-12
685.2055871304991,3.799357365039398e-12
709.1633267391829,3.554059037181068e-12
733.9587321491077,3.674661940736688e-12
759.6210917658575,4.061585988376988e-12
786.1807180438691,4.199411234979421e-12
813.6689832915893,4.3419134227214446e-12
842.1183567285442,4.489251258218589e-12
871.5624428380667,4.6415888336127725e-12
902.0360210610153,4.3419134227214446e-12
933.5750868773576,4.489251258218589e-12
966.2168943241256,4.6415888336127725e-12
1000.000000000001,5.130325584896987e-12
1034.9643086084784,5.304417279843926e-12
1071.151120093427,5.484416576121026e-12
1108.603178422692,5.670523941381169e-12
1147.3647220774021,5.304417279843926e-12
1187.4815363065986,5.484416576121026e-12
1229.001007208894,5.670523941381169e-12
1271.9721777050754,6.267602560047399e-12
1316.4458054677555,6.480286440412508e-12
1362.4744228764685,6.700187503509576e-12
1410.1123990690814,6.927550656129364e-12
1459.416004162773,6.480286440412508e-12
1510.4434757204745,6.700187503509576e-12
1563.2550875412296,6.927550656129364e-12
1617.9132208557935,7.656988080124188e-12
1674.4824380115347,7.916819159262984e-12
1733.029558733649,8.185467307069021e-12
1793.6237390528258,8.463231720621151e-12
1856.3365529925638,7.916819159262984e-12
1921.2420771125971,8.185467307069021e-12
1988.4169780083582,8.463231720621151e-12
2057.9406028697786,9.354368899026163e-12
2129.8950732064377,9.671798642975463e-12
2204.365381849708,1e-11
2281.439493346545,1.0339338492393973e-11
2361.208447863487,9.671798642975463e-12
2443.766468723535,1e-11
2529.211073703034,1.0339338492393973e-11
2617.6431902199706,1.1428020598100332e-11
2709.1672745497062,1.1815817326180997e-11
2803.891435209056,1.221677348996788e-11
2901.927560654372,1.2631335639768368e-11
