$m_S$ [GeV$/c^{2}$],Observed limit
0.025,6.5848e-06
0.02566,6.3746e-06
0.02647,6.125e-06
0.02728,5.8884e-06
0.02809,5.6561e-06
0.0289,5.4312e-06
0.02972,5.2116e-06
0.03053,5.0031e-06
0.03134,4.8038e-06
0.03216,4.612e-06
0.03297,4.4311e-06
0.03379,4.258e-06
0.03461,4.0936e-06
0.03542,3.9405e-06
0.03624,3.7954e-06
0.03706,3.6577e-06
0.03788,3.5761e-06
0.0387,3.4493e-06
0.03953,3.329e-06
0.04035,3.2166e-06
0.04118,3.1092e-06
0.042,3.0097e-06
0.04283,2.8964e-06
0.04366,2.8113e-06
0.04449,2.7319e-06
0.04532,2.6568e-06
0.04615,2.5865e-06
0.04699,2.5193e-06
0.04783,2.4561e-06
0.04866,2.3979e-06
0.0495,2.3414e-06
0.05034,3.7118e-06
0.05118,3.653e-06
0.05203,3.5943e-06
0.05287,3.5392e-06
0.05372,3.4784e-06
0.05457,3.4138e-06
0.05542,3.2821e-06
0.05627,3.2168e-06
0.05713,3.1069e-06
0.05798,2.9924e-06
0.05884,2.9028e-06
0.0597,2.8408e-06
0.06056,2.8081e-06
0.06142,2.7755e-06
0.06229,2.7736e-06
0.06315,2.7096e-06
0.06402,2.5776e-06
0.06489,2.5426e-06
0.06576,2.3246e-06
0.06664,2.3241e-06
0.06751,2.3239e-06
0.06839,2.2452e-06
0.06927,2.1188e-06
0.07015,1.9948e-06
0.07103,1.9408e-06
0.07192,1.8857e-06
0.0728,1.8777e-06
0.07369,1.8216e-06
0.07459,1.764e-06
0.07548,1.7578e-06
0.07637,1.7854e-06
0.07727,1.7326e-06
0.07817,1.6773e-06
0.07907,1.6735e-06
0.07997,1.7602e-06
0.08088,1.7127e-06
0.08178,1.6641e-06
0.08269,1.6682e-06
0.0836,1.6635e-06
0.08452,1.6586e-06
0.08543,1.6551e-06
0.08635,1.651e-06
0.08727,1.7036e-06
0.08819,1.6428e-06
0.08911,1.6388e-06
0.09003,1.6353e-06
0.09096,1.6314e-06
0.09189,1.5752e-06
0.09282,1.5717e-06
0.09375,1.5655e-06
0.09468,1.614e-06
0.09562,1.6107e-06
0.09656,1.5574e-06
0.09749,1.5546e-06
0.09844,1.5526e-06
0.09938,1.5487e-06
0.10032,1.5469e-06
0.10127,1.5468e-06
0.10222,1.5018e-06
0.10317,1.5025e-06
0.10412,1.5052e-06
0.10507,1.5023e-06
0.10603,1.5054e-06
0.10698,1.5067e-06
0.10794,1.503e-06
0.1089,1.5392e-06
0.10986,1.5404e-06
0.11082,1.542e-06
0.11179,1.5436e-06
0.11275,1.5451e-06
0.11372,1.5468e-06
0.11469,1.5143e-06
0.11566,1.481e-06
0.11663,1.4827e-06
0.1176,1.4477e-06
0.11858,1.512e-06
0.11956,1.514e-06
0.12053,1.5177e-06
0.12151,1.5233e-06
0.12249,1.4958e-06
0.12347,1.4672e-06
0.12445,1.4725e-06
0.12544,1.4789e-06
0.12642,1.4485e-06
0.12741,1.4539e-06
0.1284,1.4585e-06
0.12938,1.4636e-06
0.13037,1.4694e-06
0.13136,1.5136e-06
0.13236,1.524e-06
0.13335,1.5304e-06
0.13434,1.5368e-06
0.13534,1.6104e-06
0.13633,1.6505e-06
0.13733,1.6577e-06
0.13833,1.5644e-06
0.13932,1.6114e-06
0.14032,1.6188e-06
0.14132,1.6262e-06
0.14233,1.6339e-06
0.14333,1.6804e-06
0.14433,1.6893e-06
0.14533,1.6603e-06
0.14634,1.6683e-06
0.14734,1.7217e-06
0.14835,1.7305e-06
0.14935,1.7812e-06
0.15036,1.7915e-06
0.15137,1.7609e-06
0.15238,1.816e-06
0.15338,1.7906e-06
0.15439,1.8034e-06
0.1554,1.8648e-06
0.15641,1.8782e-06
0.15743,1.8922e-06
0.15844,1.9055e-06
0.15945,1.9199e-06
0.16046,1.9345e-06
0.16148,1.9495e-06
0.16249,1.9646e-06
0.1635,1.9834e-06
0.16452,1.9992e-06
0.16554,2.0153e-06
0.16655,2.0319e-06
0.16757,2.0458e-06
0.16859,2.1291e-06
0.1696,2.1473e-06
0.17062,2.1655e-06
0.17164,2.1839e-06
0.17266,2.2028e-06
0.17368,2.2922e-06
0.1747,2.2414e-06
0.17572,2.2616e-06
0.17674,2.2807e-06
0.17776,2.2998e-06
0.17879,2.2528e-06
0.17981,2.2741e-06
0.18083,2.2965e-06
0.18186,2.3193e-06
0.18288,2.3414e-06
0.18391,2.3567e-06
0.18493,2.384e-06
0.18596,2.4078e-06
0.18699,2.4321e-06
0.18802,2.4566e-06
0.18905,2.5576e-06
0.19008,2.584e-06
0.19111,2.6108e-06
0.19214,2.6382e-06
0.19317,2.6662e-06
0.19421,2.6949e-06
0.19524,2.6436e-06
0.19628,2.6727e-06
0.19732,2.7025e-06
0.19835,2.7325e-06
0.19939,2.7546e-06
0.20043,2.7802e-06
0.20148,2.7991e-06
0.20252,2.8202e-06
0.20356,2.8362e-06
0.20461,2.8572e-06
0.20566,2.8743e-06
0.20671,2.9797e-06
0.20776,2.9957e-06
0.20881,3.0132e-06
0.20987,3.0343e-06
0.21092,3.1524e-06
0.21198,3.1882e-06
0.212,3.1885e-06
0.21306,3.2074e-06
0.21415,3.2424e-06
0.21523,3.2754e-06
0.21632,3.3098e-06
0.2174,3.3379e-06
0.21849,3.4747e-06
0.21958,3.5077e-06
0.22067,3.5529e-06
0.22176,3.4942e-06
0.22286,3.5233e-06
0.22395,3.5651e-06
0.22505,3.6077e-06
0.22614,3.5528e-06
0.22724,3.5853e-06
0.22834,3.6292e-06
0.22944,3.675e-06
0.23055,3.6245e-06
0.23165,3.7516e-06
0.23276,3.8014e-06
0.23386,3.8521e-06
0.23497,3.9046e-06
0.23608,3.8632e-06
0.23719,3.928e-06
0.2383,3.9805e-06
0.23941,4.0422e-06
0.24053,4.102e-06
0.24164,4.2895e-06
0.24276,4.3548e-06
0.24388,4.422e-06
0.245,4.4913e-06
0.24612,4.7062e-06
0.24724,4.7824e-06
0.24837,4.7142e-06
0.24949,4.7924e-06
0.25062,4.8526e-06
0.25174,4.896e-06
0.25287,4.7965e-06
0.254,4.8388e-06
0.25514,4.8838e-06
0.25627,4.9297e-06
0.2574,4.9762e-06
0.25854,5.0112e-06
0.25967,5.0594e-06
0.26081,5.1092e-06
0.26195,5.1744e-06
0.26309,5.2271e-06
0.26423,5.2799e-06
0.26538,5.3186e-06
0.26652,5.3736e-06
0.26767,5.4304e-06
0.26881,5.4877e-06
0.26996,5.5456e-06
0.27111,5.461e-06
0.27226,5.5212e-06
0.27342,5.5806e-06
0.27457,5.6436e-06
0.27573,5.965e-06
0.27688,5.9002e-06
0.27804,5.8286e-06
0.2792,5.7485e-06
0.28036,5.7219e-06
0.28152,5.7362e-06
0.28268,5.6418e-06
0.28385,5.5168e-06
0.28501,5.5125e-06
0.28618,5.4453e-06
0.28735,5.5069e-06
0.28852,5.4277e-06
0.28969,5.6265e-06
0.29086,5.5603e-06
0.29203,5.6278e-06
0.29321,5.7013e-06
0.29438,5.9197e-06
