$m_S$ [GeV$/c^{2}$],Observed limit
0.025,2.7415e-06
0.02566,2.6423e-06
0.02647,2.5255e-06
0.02728,2.4152e-06
0.02809,2.3078e-06
0.0289,2.2049e-06
0.02972,2.1037e-06
0.03053,2.009e-06
0.03134,1.9186e-06
0.03216,1.8318e-06
0.03297,1.751e-06
0.03379,1.6734e-06
0.03461,1.6003e-06
0.03542,1.5323e-06
0.03624,1.4675e-06
0.03706,1.407e-06
0.03788,1.3681e-06
0.0387,1.3124e-06
0.03953,1.2594e-06
0.04035,1.2104e-06
0.04118,1.1637e-06
0.042,1.1201e-06
0.04283,1.0721e-06
0.04366,1.0349e-06
0.04449,9.9997e-07
0.04532,9.6698e-07
0.04615,9.3628e-07
0.04699,9.0731e-07
0.04783,8.7912e-07
0.04866,8.5333e-07
0.0495,8.2862e-07
0.05034,1.3074e-06
0.05118,1.2824e-06
0.05203,1.2577e-06
0.05287,1.2343e-06
0.05372,1.2089e-06
0.05457,1.1824e-06
0.05542,1.133e-06
0.05627,1.1067e-06
0.05713,1.0652e-06
0.05798,1.0224e-06
0.05884,9.8838e-07
0.0597,9.6382e-07
0.06056,9.4944e-07
0.06142,9.3507e-07
0.06229,9.3112e-07
0.06315,9.0637e-07
0.06402,8.5915e-07
0.06489,8.4443e-07
0.06576,7.6919e-07
0.06664,7.6622e-07
0.06751,7.6334e-07
0.06839,7.3478e-07
0.06927,6.9081e-07
0.07015,6.4825e-07
0.07103,6.3009e-07
0.07192,6.1156e-07
0.0728,6.0835e-07
0.07369,5.8952e-07
0.07459,5.7034e-07
0.07548,5.6767e-07
0.07637,5.76e-07
0.07727,5.5838e-07
0.07817,5.3999e-07
0.07907,5.382e-07
0.07997,5.6548e-07
0.08088,5.4965e-07
0.08178,5.3349e-07
0.08269,5.3425e-07
0.0836,5.3217e-07
0.08452,5.3005e-07
0.08543,5.2837e-07
0.08635,5.2648e-07
0.08727,5.4267e-07
0.08819,5.2275e-07
0.08911,5.2086e-07
0.09003,5.1922e-07
0.09096,5.1745e-07
