$m_S$ [GeV$/c^{2}$],Observed limit
0.025,1.6452e-05
0.02566,1.5427e-05
0.02647,1.4437e-05
0.02728,1.3449e-05
0.02809,1.2569e-05
0.0289,1.1751e-05
0.02972,1.1015e-05
0.03053,1.0333e-05
0.03134,9.7012e-06
0.03216,9.1162e-06
0.03297,8.5782e-06
0.03379,8.0742e-06
0.03461,7.6102e-06
0.03542,7.1858e-06
0.03624,6.7933e-06
0.03706,6.4155e-06
0.03788,6.0648e-06
0.0387,5.7475e-06
0.03953,5.4496e-06
0.04035,5.1766e-06
0.04118,4.9236e-06
0.042,4.68e-06
0.04283,4.4555e-06
0.04366,4.2463e-06
0.04449,4.0509e-06
0.04532,3.8678e-06
0.04615,3.6964e-06
0.04699,3.5337e-06
0.04783,3.3823e-06
0.04866,3.2515e-06
0.0495,3.1175e-06
0.05034,4.4953e-06
0.05118,4.3874e-06
0.05203,4.2822e-06
0.05287,4.1825e-06
0.05372,4.0849e-06
0.05457,3.9907e-06
0.05542,3.8996e-06
0.05627,3.812e-06
0.05713,3.7262e-06
0.05798,3.6444e-06
0.05884,3.5642e-06
0.0597,3.4866e-06
0.06056,3.4117e-06
0.06142,3.3392e-06
0.06229,3.2683e-06
0.06315,3.2002e-06
0.06402,3.1336e-06
0.06489,3.0691e-06
0.06576,3.0066e-06
0.06664,2.9454e-06
0.06751,2.8865e-06
0.06839,2.829e-06
0.06927,2.7731e-06
0.07015,2.7189e-06
0.07103,2.6676e-06
0.07192,2.6099e-06
0.0728,2.5379e-06
0.07369,2.4302e-06
0.07459,2.3198e-06
0.07548,2.2262e-06
0.07637,2.1305e-06
0.07727,2.074e-06
0.07817,2.0388e-06
0.07907,1.9826e-06
0.07997,1.8816e-06
0.08088,1.8462e-06
0.08178,1.6897e-06
0.08269,1.6788e-06
0.0836,1.5625e-06
0.08452,1.4358e-06
0.08543,1.3626e-06
0.08635,1.3544e-06
0.08727,1.3137e-06
0.08819,1.2714e-06
0.08911,1.2277e-06
0.09003,1.2204e-06
0.09096,1.2497e-06
0.09189,1.2427e-06
0.09282,1.2358e-06
0.09375,1.2291e-06
0.09468,1.2227e-06
0.09562,1.2163e-06
0.09656,1.1747e-06
0.09749,1.1637e-06
0.09844,1.1587e-06
0.09938,1.152e-06
0.10032,1.109e-06
0.10127,1.1054e-06
0.10222,1.1018e-06
0.10317,1.0685e-06
0.10412,1.062e-06
0.10507,1.0572e-06
0.10603,1.0555e-06
0.10698,1.0191e-06
0.10794,1.0163e-06
0.1089,1.0136e-06
0.10986,1.011e-06
0.11082,1.0246e-06
0.11179,1.0221e-06
0.11275,1.0194e-06
0.11372,1.017e-06
0.11469,9.6433e-07
0.11566,9.3487e-07
0.11663,9.7754e-07
0.1176,9.7521e-07
0.11858,9.4968e-07
0.11956,9.231e-07
0.12053,8.9525e-07
0.12151,9.358e-07
0.12249,9.3359e-07
0.12347,8.8642e-07
0.12445,8.6015e-07
0.12544,9.3468e-07
0.12642,9.3255e-07
0.12741,9.3048e-07
0.1284,8.4843e-07
0.12938,8.4577e-07
0.13037,8.4385e-07
0.13136,8.4235e-07
0.13236,8.4071e-07
0.13335,8.3874e-07
0.13434,8.3659e-07
0.13534,8.6919e-07
0.13633,8.8569e-07
0.13733,8.8351e-07
0.13833,8.8131e-07
0.13932,8.7915e-07
0.14032,8.7682e-07
0.14132,8.7188e-07
0.14233,8.1266e-07
0.14333,8.1038e-07
0.14433,8.3006e-07
0.14533,8.2779e-07
0.14634,8.2552e-07
0.14734,8.4401e-07
0.14835,8.4148e-07
0.14935,8.3913e-07
0.15036,8.3691e-07
0.15137,8.5537e-07
0.15238,8.1371e-07
0.15338,8.1231e-07
0.15439,8.1085e-07
