34.6663006390933	34.6663006390933	1.1212543554004015e-06
39.578686183348744	39.578686183348744	1.1212543552470364e-06
43.945334223327976	43.945334223327976	1.1187482269087374e-06
47.91568010578584	47.91568010578584	1.118118466898955e-06
51.581318323594644	51.581318323594644	1.1180815119215038e-06
55.003203543066476	55.003203543066476	1.49399857725192e-06
58.22432824859383	58.22432824859383	1.412852415646888e-06
61.276360858001354	61.276360858001354	1.7902608574911159e-06
64.18342776760993	64.18342776760993	1.611417823823064e-06
66.9644114436915	66.9644114436915	1.79873788962734e-06
69.63441965005525	69.63441965005525	2.375434819534019e-06
72.20576431283033	72.20576431283033	2.680545199360694e-06
74.688636351188	74.688636351188	3.162258587054195e-06
