$m_S$ [GeV$/c^{2}$],Observed limit
0.21271,5.8849e-08
0.21341,5.9583e-08
0.2141,6.0094e-08
0.2148,6.0372e-08
0.21551,6.0534e-08
0.21621,6.0678e-08
0.21691,6.1215e-08
0.21762,6.1751e-08
0.21832,6.1812e-08
0.21903,6.1849e-08
0.21974,6.1765e-08
0.22045,6.1668e-08
0.22116,6.1513e-08
0.22187,6.1347e-08
0.22259,6.1173e-08
0.2233,6.0974e-08
0.22402,6.0764e-08
0.22473,6.059e-08
0.22545,6.0415e-08
0.22617,6.0798e-08
0.22689,6.1131e-08
0.22762,6.0966e-08
0.22834,6.0767e-08
0.22906,6.032e-08
0.22979,6.0116e-08
0.23052,5.9914e-08
0.23125,5.9651e-08
0.23198,5.9466e-08
0.23271,5.924e-08
0.23344,5.8989e-08
0.23417,5.8804e-08
0.23491,5.8526e-08
0.23564,5.8353e-08
0.23638,5.8079e-08
0.23712,5.855e-08
0.23786,5.828e-08
0.2386,5.8723e-08
0.23934,5.8176e-08
0.24008,5.7964e-08
0.24083,5.7711e-08
0.24157,5.7502e-08
0.24232,5.7255e-08
0.24307,5.7037e-08
0.24382,5.6808e-08
0.24457,5.6571e-08
0.24532,5.6363e-08
0.24608,5.6093e-08
0.24683,5.5916e-08
0.24759,5.5634e-08
0.24834,5.5461e-08
0.2491,5.5894e-08
0.24986,5.5667e-08
0.25062,5.5704e-08
0.25138,5.5424e-08
0.25215,5.5194e-08
0.25291,5.49e-08
0.25368,5.4675e-08
0.25445,5.4418e-08
0.25521,5.4138e-08
0.25598,5.3932e-08
0.25676,5.3654e-08
0.25753,5.3407e-08
0.2583,5.3188e-08
0.25908,5.2896e-08
0.25985,5.2679e-08
0.26063,5.2455e-08
0.26141,5.2851e-08
0.26219,5.2858e-08
0.26297,5.2584e-08
0.26375,5.2377e-08
0.26454,5.2131e-08
0.26532,5.1862e-08
0.26611,5.1659e-08
0.2669,5.1421e-08
0.26768,5.1154e-08
0.26847,5.0954e-08
0.26927,5.0727e-08
0.27006,5.0461e-08
0.27085,5.0257e-08
0.27165,5.0048e-08
0.27244,4.9799e-08
0.27324,4.9564e-08
0.27404,5.0173e-08
0.27484,4.9969e-08
0.27564,4.975e-08
0.27645,4.9498e-08
0.27725,4.929e-08
0.27806,4.9078e-08
0.27886,4.8858e-08
0.27967,4.8607e-08
0.28048,4.8554e-08
0.28129,4.8577e-08
0.2821,4.8554e-08
0.28292,4.8386e-08
0.28373,4.8255e-08
0.28455,4.8101e-08
0.28537,4.7983e-08
0.28618,4.8759e-08
0.287,4.8735e-08
0.28782,4.8732e-08
0.28865,4.8726e-08
0.28947,4.8698e-08
0.2903,4.8859e-08
0.29112,4.9386e-08
0.29195,4.9913e-08
0.29278,5.0432e-08
0.29361,5.0967e-08
0.29444,5.1539e-08
0.29527,5.2112e-08
0.29611,5.2695e-08
0.29694,5.3269e-08
0.29778,5.4756e-08
0.29862,5.5388e-08
0.29946,5.605e-08
0.3003,5.6446e-08
0.30114,5.6351e-08
0.30198,5.6259e-08
0.30283,5.6158e-08
0.30367,5.6069e-08
0.30452,5.5966e-08
0.30537,5.5882e-08
0.30622,5.5789e-08
0.30707,5.569e-08
0.30792,5.5597e-08
0.30878,5.6378e-08
0.30963,5.6284e-08
0.31049,5.6188e-08
0.31134,5.6095e-08
0.3122,5.6e-08
0.31306,5.5915e-08
0.31392,5.5812e-08
0.31479,5.5727e-08
0.31565,5.5625e-08
0.31652,5.554e-08
0.31738,5.5439e-08
0.31825,5.5345e-08
0.31912,5.6175e-08
0.31999,5.6077e-08
0.32086,5.5982e-08
0.32174,5.5891e-08
0.32261,5.5799e-08
0.32349,5.5701e-08
0.32437,5.561e-08
0.32524,5.5507e-08
0.32612,5.5417e-08
0.32701,5.5334e-08
0.32789,5.5228e-08
0.32877,5.5145e-08
0.32966,5.6005e-08
0.33054,5.5923e-08
0.33143,5.58e-08
0.33232,5.5731e-08
0.33321,5.5629e-08
0.3341,5.5528e-08
0.335,5.5431e-08
0.33589,5.5341e-08
0.33679,5.5248e-08
0.33768,5.5148e-08
0.33858,5.5051e-08
0.33948,5.5954e-08
0.34038,5.5873e-08
0.34129,5.5777e-08
0.34219,5.5679e-08
0.3431,5.5582e-08
0.344,5.5507e-08
0.34491,5.5412e-08
0.34582,5.5321e-08
0.34673,5.5227e-08
0.34764,5.5133e-08
0.34855,5.6067e-08
0.34947,5.5972e-08
0.35038,5.596e-08
0.3513,5.6062e-08
0.35222,5.6165e-08
0.35314,5.524e-08
0.35406,5.5342e-08
0.35498,5.5445e-08
0.35591,5.6539e-08
0.35683,5.6598e-08
0.35776,5.6672e-08
0.35868,5.7808e-08
0.35961,5.7926e-08
0.36054,5.8036e-08
0.36148,5.8146e-08
0.36241,5.8258e-08
0.36334,5.8367e-08
0.36428,5.8481e-08
0.36522,5.7676e-08
0.36615,5.7788e-08
0.36709,5.7892e-08
0.36803,5.9082e-08
0.36898,5.9199e-08
0.36992,5.9315e-08
0.37087,5.9433e-08
0.37181,5.955e-08
0.37276,5.9669e-08
0.37371,5.9783e-08
0.37466,5.9938e-08
0.37561,6.0058e-08
0.37656,6.0179e-08
0.37752,6.1447e-08
0.37847,6.1571e-08
0.37943,6.1694e-08
0.38039,6.1769e-08
0.38135,6.077e-08
0.38231,6.0915e-08
0.38327,6.1039e-08
0.38424,6.1177e-08
0.3852,6.1312e-08
0.38617,6.2638e-08
0.38713,6.2769e-08
0.3881,6.2913e-08
0.38907,6.3034e-08
0.39005,6.3177e-08
0.39102,6.3303e-08
0.39199,6.344e-08
0.39297,6.3577e-08
0.39395,6.3715e-08
0.39492,6.5145e-08
0.3959,6.5287e-08
0.39688,6.5429e-08
0.39787,6.5574e-08
0.39885,6.5718e-08
0.39984,6.5864e-08
0.40082,6.6226e-08
0.40181,6.8037e-08
0.4028,6.8439e-08
0.40379,6.8857e-08
0.40478,6.9293e-08
0.40577,6.9721e-08
0.40677,7.0244e-08
0.40776,7.0699e-08
0.40876,7.1166e-08
0.40976,7.1638e-08
0.41076,7.2117e-08
0.41176,7.2603e-08
0.41276,7.4615e-08
0.41377,7.513e-08
0.41477,7.5646e-08
0.41578,7.6176e-08
0.41679,7.5159e-08
0.4178,7.5693e-08
0.41881,7.6152e-08
0.41982,7.6701e-08
0.42083,7.7258e-08
0.42185,7.783e-08
0.42286,7.8404e-08
0.42388,7.8992e-08
0.4249,7.9591e-08
0.42592,8.0198e-08
0.42694,7.9229e-08
0.42796,7.9843e-08
0.42898,8.04e-08
0.43001,8.1046e-08
0.43104,8.1694e-08
0.43206,8.2348e-08
0.43309,8.302e-08
0.43412,8.3703e-08
0.43515,8.4397e-08
0.43619,8.511e-08
0.43722,8.5828e-08
0.43826,8.4936e-08
0.43929,8.5652e-08
0.44033,8.6687e-08
0.44137,8.8522e-08
0.44241,9.0462e-08
0.44346,9.2512e-08
0.4445,9.4623e-08
0.44555,9.7893e-08
0.44659,1.0234e-07
0.44764,1.0727e-07
0.44869,1.1271e-07
