$m_S$ [GeV$/c^{2}$],Observed limit
0.21271,8.9359e-07
0.21341,9.1068e-07
0.2141,9.2405e-07
0.2148,9.468e-07
0.21551,9.6901e-07
0.21621,9.8035e-07
0.21691,9.8996e-07
0.21762,9.9979e-07
0.21832,1.009e-06
0.21903,1.0176e-06
0.21974,1.0261e-06
0.22045,1.0306e-06
0.22116,1.0328e-06
0.22187,1.0348e-06
0.22259,1.0365e-06
0.2233,1.0511e-06
0.22402,1.0652e-06
0.22473,1.0661e-06
0.22545,1.0672e-06
0.22617,1.0646e-06
0.22689,1.0651e-06
0.22762,1.0654e-06
0.22834,1.0659e-06
0.22906,1.0663e-06
0.22979,1.0664e-06
0.23052,1.0665e-06
0.23125,1.0667e-06
0.23198,1.0662e-06
0.23271,1.0663e-06
0.23344,1.0661e-06
0.23417,1.0809e-06
0.23491,1.081e-06
0.23564,1.0801e-06
0.23638,1.0952e-06
0.23712,1.0882e-06
0.23786,1.0876e-06
0.2386,1.0869e-06
0.23934,1.0863e-06
0.24008,1.0854e-06
0.24083,1.0848e-06
0.24157,1.0838e-06
0.24232,1.0833e-06
0.24307,1.0821e-06
0.24382,1.0815e-06
0.24457,1.0803e-06
0.24532,1.0796e-06
0.24608,1.0784e-06
0.24683,1.0775e-06
0.24759,1.0936e-06
0.24834,1.0922e-06
0.2491,1.0916e-06
0.24986,1.0975e-06
0.25062,1.0975e-06
0.25138,1.0971e-06
0.25215,1.0974e-06
0.25291,1.0971e-06
0.25368,1.0971e-06
0.25445,1.0971e-06
0.25521,1.0966e-06
0.25598,1.0969e-06
0.25676,1.0964e-06
0.25753,1.0965e-06
0.2583,1.0963e-06
0.25908,1.0956e-06
0.25985,1.0959e-06
0.26063,1.0954e-06
0.26141,1.1135e-06
0.26219,1.1137e-06
0.26297,1.1192e-06
0.26375,1.1189e-06
0.26454,1.1181e-06
0.26532,1.1182e-06
0.26611,1.1176e-06
0.2669,1.117e-06
0.26768,1.117e-06
0.26847,1.1164e-06
0.26927,1.1158e-06
0.27006,1.1157e-06
0.27085,1.115e-06
0.27165,1.1144e-06
0.27244,1.1143e-06
0.27324,1.1136e-06
0.27404,1.1129e-06
0.27484,1.1129e-06
0.27564,1.1364e-06
0.27645,1.1358e-06
0.27725,1.1348e-06
0.27806,1.1346e-06
0.27886,1.134e-06
0.27967,1.1328e-06
0.28048,1.1266e-06
0.28129,1.1168e-06
0.2821,1.1054e-06
0.28292,1.0826e-06
0.28373,1.0615e-06
0.28455,1.0406e-06
0.28537,1.0291e-06
0.28618,1.0295e-06
0.287,1.0296e-06
0.28782,1.0294e-06
0.28865,1.0508e-06
0.28947,1.0507e-06
0.2903,1.0514e-06
0.29112,1.0528e-06
0.29195,1.0539e-06
0.29278,1.0555e-06
0.29361,1.0571e-06
0.29444,1.0584e-06
0.29527,1.0595e-06
0.29611,1.0612e-06
0.29694,1.0628e-06
0.29778,1.0641e-06
0.29862,1.0652e-06
0.29946,1.0669e-06
0.3003,1.0676e-06
0.30114,1.0878e-06
0.30198,1.0867e-06
0.30283,1.0856e-06
0.30367,1.0846e-06
0.30452,1.0835e-06
0.30537,1.0824e-06
0.30622,1.0813e-06
0.30707,1.0802e-06
0.30792,1.0792e-06
0.30878,1.0781e-06
0.30963,1.077e-06
0.31049,1.0759e-06
0.31134,1.0749e-06
0.3122,1.0738e-06
0.31306,1.0947e-06
0.31392,1.0936e-06
0.31479,1.0925e-06
0.31565,1.0914e-06
0.31652,1.0903e-06
0.31738,1.0892e-06
0.31825,1.0881e-06
0.31912,1.087e-06
0.31999,1.0859e-06
0.32086,1.0848e-06
0.32174,1.0837e-06
0.32261,1.0827e-06
0.32349,1.0816e-06
0.32437,1.1034e-06
0.32524,1.1015e-06
0.32612,1.1016e-06
0.32701,1.1e-06
0.32789,1.0993e-06
0.32877,1.0979e-06
0.32966,1.096e-06
0.33054,1.0957e-06
0.33143,1.0953e-06
0.33232,1.0938e-06
0.33321,1.0923e-06
0.3341,1.0908e-06
0.335,1.1136e-06
0.33589,1.1126e-06
0.33679,1.1118e-06
0.33768,1.1108e-06
0.33858,1.1095e-06
0.33948,1.1082e-06
0.34038,1.107e-06
0.34129,1.1059e-06
0.34219,1.105e-06
0.3431,1.104e-06
0.344,1.1031e-06
0.34491,1.1271e-06
0.34582,1.1257e-06
0.34673,1.1251e-06
0.34764,1.124e-06
0.34855,1.1229e-06
0.34947,1.1217e-06
0.35038,1.1202e-06
0.3513,1.1183e-06
0.35222,1.1163e-06
0.35314,1.1143e-06
0.35406,1.1124e-06
0.35498,1.1104e-06
0.35591,1.1077e-06
0.35683,1.1056e-06
0.35776,1.1248e-06
0.35868,1.1229e-06
0.35961,1.1209e-06
0.36054,1.1189e-06
0.36148,1.117e-06
0.36241,1.0948e-06
0.36334,1.0925e-06
0.36428,1.0906e-06
0.36522,1.1126e-06
0.36615,1.1107e-06
0.36709,1.1087e-06
0.36803,1.1068e-06
0.36898,1.1049e-06
0.36992,1.1029e-06
0.37087,1.101e-06
0.37181,1.1009e-06
0.37276,1.099e-06
0.37371,1.0971e-06
0.37466,1.0952e-06
0.37561,1.118e-06
0.37656,1.116e-06
0.37752,1.114e-06
0.37847,1.1121e-06
0.37943,1.1099e-06
0.38039,1.1071e-06
0.38135,1.1047e-06
0.38231,1.1026e-06
0.38327,1.0773e-06
