$m_S$ [GeV$/c^{2}$],Observed limit
0.21271,4.6997e-07
0.21341,4.8256e-07
0.2141,4.8948e-07
0.2148,4.9437e-07
0.21551,4.9855e-07
0.21621,5.0211e-07
0.21691,5.0514e-07
0.21762,5.077e-07
0.21832,5.0987e-07
0.21903,5.117e-07
0.21974,5.1948e-07
0.22045,5.2672e-07
0.22116,5.2795e-07
0.22187,5.2907e-07
0.22259,5.2852e-07
0.2233,5.2929e-07
0.22402,5.2991e-07
0.22473,5.3055e-07
0.22545,5.3119e-07
0.22617,5.3155e-07
0.22689,5.3172e-07
0.22762,5.3208e-07
0.22834,5.3242e-07
0.22906,5.324e-07
0.22979,5.3979e-07
0.23052,5.4007e-07
0.23125,5.4693e-07
0.23198,5.4718e-07
0.23271,5.4456e-07
0.23344,5.4442e-07
0.23417,5.4422e-07
0.23491,5.4426e-07
0.23564,5.4386e-07
0.23638,5.4396e-07
0.23712,5.4354e-07
0.23786,5.4345e-07
0.2386,5.431e-07
0.23934,5.4287e-07
0.24008,5.4254e-07
0.24083,5.4222e-07
0.24157,5.5006e-07
0.24232,5.4974e-07
0.24307,5.4931e-07
0.24382,5.5695e-07
0.24457,5.524e-07
0.24532,5.5222e-07
0.24608,5.5148e-07
0.24683,5.513e-07
0.24759,5.5055e-07
0.24834,5.503e-07
0.2491,5.4969e-07
0.24986,5.4922e-07
0.25062,5.4896e-07
0.25138,5.484e-07
0.25215,5.4838e-07
0.25291,5.4775e-07
0.25368,5.4781e-07
0.25445,5.4722e-07
0.25521,5.5557e-07
0.25598,5.5558e-07
0.25676,5.5832e-07
0.25753,5.581e-07
0.2583,5.5735e-07
0.25908,5.5714e-07
0.25985,5.5667e-07
0.26063,5.5596e-07
0.26141,5.5583e-07
0.26219,5.5522e-07
0.26297,5.547e-07
0.26375,5.5448e-07
0.26454,5.5374e-07
0.26532,5.5335e-07
0.26611,5.5305e-07
0.2669,5.5225e-07
0.26768,5.5191e-07
0.26847,5.5159e-07
0.26927,5.6304e-07
0.27006,5.6238e-07
0.27085,5.6167e-07
0.27165,5.6139e-07
0.27244,5.6075e-07
0.27324,5.5998e-07
0.27404,5.5971e-07
0.27484,5.591e-07
0.27564,5.5827e-07
0.27645,5.5796e-07
0.27725,5.5745e-07
0.27806,5.5657e-07
0.27886,5.5612e-07
0.27967,5.5592e-07
0.28048,5.5305e-07
0.28129,5.4924e-07
0.2821,5.576e-07
0.28292,5.5783e-07
0.28373,5.5772e-07
0.28455,5.5738e-07
0.28537,5.5649e-07
0.28618,5.5435e-07
0.287,5.5189e-07
0.28782,5.4952e-07
0.28865,5.4756e-07
0.28947,5.4538e-07
0.2903,5.434e-07
0.29112,5.4249e-07
0.29195,5.4187e-07
0.29278,5.4097e-07
0.29361,5.3978e-07
0.29444,5.4977e-07
0.29527,5.489e-07
0.29611,5.4815e-07
0.29694,5.4723e-07
0.29778,5.4628e-07
0.29862,5.4535e-07
0.29946,5.4437e-07
0.3003,5.4364e-07
0.30114,5.4305e-07
0.30198,5.4248e-07
0.30283,5.4191e-07
0.30367,5.4135e-07
0.30452,5.4078e-07
0.30537,5.4022e-07
0.30622,5.5038e-07
0.30707,5.4979e-07
0.30792,5.4923e-07
0.30878,5.4864e-07
0.30963,5.4806e-07
0.31049,5.4748e-07
0.31134,5.4691e-07
0.3122,5.4633e-07
0.31306,5.4578e-07
0.31392,5.4519e-07
0.31479,5.446e-07
0.31565,5.4404e-07
0.31652,5.4347e-07
0.31738,5.4291e-07
0.31825,5.5348e-07
0.31912,5.529e-07
0.31999,5.5232e-07
0.32086,5.5175e-07
0.32174,5.5116e-07
0.32261,5.5059e-07
0.32349,5.4998e-07
0.32437,5.4941e-07
0.32524,5.4884e-07
0.32612,5.4825e-07
0.32701,5.474e-07
0.32789,5.4724e-07
0.32877,5.5819e-07
0.32966,5.5732e-07
0.33054,5.5712e-07
0.33143,5.566e-07
0.33232,5.5587e-07
0.33321,5.5512e-07
0.3341,5.5436e-07
0.335,5.5368e-07
0.33589,5.5312e-07
0.33679,5.5273e-07
0.33768,5.5217e-07
0.33858,5.515e-07
0.33948,5.6301e-07
0.34038,5.6241e-07
0.34129,5.6194e-07
0.34219,5.6139e-07
0.3431,5.6084e-07
0.344,5.601e-07
0.34491,5.5964e-07
0.34582,5.589e-07
0.34673,5.5853e-07
0.34764,5.5794e-07
0.34855,5.7016e-07
0.34947,5.6955e-07
0.35038,5.689e-07
0.3513,5.6819e-07
0.35222,5.6747e-07
0.35314,5.5403e-07
0.35406,5.5334e-07
0.35498,5.5258e-07
0.35591,5.6356e-07
0.35683,5.6244e-07
0.35776,5.6141e-07
0.35868,5.7302e-07
0.35961,5.7222e-07
