$m_S$ [GeV$/c^{2}$],Observed limit
0.21271,3.5133e-06
0.21341,3.5862e-06
0.2141,3.6416e-06
0.2148,3.6995e-06
0.21551,3.7905e-06
0.21621,3.8803e-06
0.21691,3.9251e-06
0.21762,3.9682e-06
0.21832,3.999e-06
0.21903,4.0362e-06
0.21974,4.072e-06
0.22045,4.0928e-06
0.22116,4.1066e-06
0.22187,4.1157e-06
0.22259,4.1258e-06
0.2233,4.1337e-06
0.22402,4.1414e-06
0.22473,4.1489e-06
0.22545,4.2122e-06
0.22617,4.2169e-06
0.22689,4.2775e-06
0.22762,4.2838e-06
0.22834,4.2708e-06
0.22906,4.2731e-06
0.22979,4.276e-06
0.23052,4.2801e-06
0.23125,4.2815e-06
0.23198,4.2829e-06
0.23271,4.2867e-06
0.23344,4.2866e-06
0.23417,4.288e-06
0.23491,4.2897e-06
0.23564,4.2887e-06
0.23638,4.2909e-06
0.23712,4.2893e-06
0.23786,4.2904e-06
0.2386,4.3564e-06
0.23934,4.3562e-06
0.24008,4.421e-06
0.24083,4.4195e-06
0.24157,4.3886e-06
0.24232,4.3888e-06
0.24307,4.3863e-06
0.24382,4.3857e-06
0.24457,4.3832e-06
0.24532,4.3822e-06
0.24608,4.3797e-06
0.24683,4.3788e-06
0.24759,4.3753e-06
0.24834,4.3747e-06
0.2491,4.3705e-06
0.24986,4.3703e-06
0.25062,4.368e-06
0.25138,4.3711e-06
0.25215,4.3695e-06
0.25291,4.3717e-06
0.25368,4.4451e-06
0.25445,4.4454e-06
0.25521,4.4749e-06
0.25598,4.4766e-06
0.25676,4.4764e-06
0.25753,4.4754e-06
0.2583,4.4769e-06
0.25908,4.4739e-06
0.25985,4.4759e-06
0.26063,4.4736e-06
0.26141,4.4731e-06
0.26219,4.4745e-06
0.26297,4.4714e-06
0.26375,4.4733e-06
0.26454,4.4712e-06
0.26532,4.4698e-06
0.26611,4.4715e-06
0.2669,4.4679e-06
0.26768,4.4684e-06
0.26847,4.4683e-06
0.26927,4.5453e-06
0.27006,4.5662e-06
0.27085,4.5667e-06
0.27165,4.5658e-06
0.27244,4.5619e-06
0.27324,4.5631e-06
0.27404,4.561e-06
0.27484,4.5575e-06
0.27564,4.5587e-06
0.27645,4.5559e-06
0.27725,4.5529e-06
0.27806,4.5541e-06
0.27886,4.5508e-06
0.27967,4.5464e-06
0.28048,4.39e-06
0.28129,4.1453e-06
0.2821,3.9676e-06
0.28292,4.0985e-06
0.28373,4.2329e-06
0.28455,4.4755e-06
0.28537,4.5734e-06
0.28618,4.6048e-06
0.287,4.6334e-06
0.28782,4.6607e-06
0.28865,4.6935e-06
0.28947,4.7248e-06
0.2903,4.7376e-06
0.29112,4.7274e-06
0.29195,4.7192e-06
0.29278,4.7059e-06
0.29361,4.6937e-06
0.29444,4.6859e-06
0.29527,4.6751e-06
0.29611,4.6611e-06
0.29694,4.6514e-06
0.29778,4.7392e-06
0.29862,4.728e-06
0.29946,4.7168e-06
