$m_S$ [GeV$/c^{2}$],Observed limit
0.21271,8.417e-08
0.21341,8.5914e-08
0.2141,8.7182e-08
0.2148,8.8148e-08
0.21551,8.897e-08
0.21621,9.0672e-08
0.21691,9.1272e-08
0.21762,9.2602e-08
0.21832,9.3032e-08
0.21903,9.3445e-08
0.21974,9.3806e-08
0.22045,9.4134e-08
0.22116,9.4456e-08
0.22187,9.4761e-08
0.22259,9.5051e-08
0.2233,9.6638e-08
0.22402,9.7711e-08
0.22473,9.7939e-08
0.22545,9.8157e-08
0.22617,9.8362e-08
0.22689,9.8552e-08
0.22762,9.8728e-08
0.22834,9.8881e-08
0.22906,9.9034e-08
0.22979,9.92e-08
0.23052,9.9363e-08
0.23125,9.9496e-08
0.23198,1.0187e-07
0.23271,1.0201e-07
0.23344,1.0213e-07
0.23417,1.0224e-07
0.23491,1.0234e-07
0.23564,1.0247e-07
0.23638,1.0254e-07
0.23712,1.026e-07
0.23786,1.0272e-07
0.2386,1.0279e-07
0.23934,1.0286e-07
0.24008,1.0296e-07
0.24083,1.0533e-07
0.24157,1.0537e-07
0.24232,1.0546e-07
0.24307,1.0549e-07
0.24382,1.0557e-07
0.24457,1.0562e-07
0.24532,1.0565e-07
0.24608,1.0572e-07
0.24683,1.0573e-07
0.24759,1.0581e-07
0.24834,1.0581e-07
0.2491,1.059e-07
0.24986,1.0822e-07
0.25062,1.0811e-07
0.25138,1.0805e-07
0.25215,1.0791e-07
0.25291,1.0785e-07
0.25368,1.077e-07
0.25445,1.0764e-07
0.25521,1.075e-07
0.25598,1.0742e-07
0.25676,1.073e-07
0.25753,1.072e-07
0.2583,1.0932e-07
0.25908,1.0918e-07
0.25985,1.0907e-07
0.26063,1.0895e-07
0.26141,1.0879e-07
0.26219,1.0871e-07
0.26297,1.0855e-07
0.26375,1.0844e-07
0.26454,1.0832e-07
0.26532,1.0815e-07
0.26611,1.0807e-07
0.2669,1.079e-07
0.26768,1.0991e-07
0.26847,1.0977e-07
0.26927,1.0962e-07
0.27006,1.0949e-07
0.27085,1.0935e-07
0.27165,1.0922e-07
0.27244,1.0908e-07
0.27324,1.0894e-07
0.27404,1.0881e-07
0.27484,1.0868e-07
0.27564,1.1081e-07
0.27645,1.1065e-07
0.27725,1.1047e-07
0.27806,1.1033e-07
0.27886,1.1023e-07
0.27967,1.1009e-07
0.28048,1.0918e-07
0.28129,1.0782e-07
0.2821,1.0657e-07
0.28292,1.0615e-07
0.28373,1.0794e-07
0.28455,1.0751e-07
0.28537,1.0744e-07
0.28618,1.078e-07
0.287,1.0819e-07
0.28782,1.0858e-07
0.28865,1.0895e-07
0.28947,1.0931e-07
0.2903,1.0957e-07
0.29112,1.0945e-07
0.29195,1.117e-07
0.29278,1.1161e-07
0.29361,1.1149e-07
