$m_S$ [GeV$/c^{2}$],Observed limit
0.21271,7.2937e-06
0.21341,7.4783e-06
0.2141,7.5903e-06
0.2148,7.5291e-06
0.21551,7.4508e-06
0.21621,7.4632e-06
0.21691,7.448e-06
0.21762,7.3484e-06
0.21832,7.2487e-06
0.21903,7.1453e-06
0.21974,7.0425e-06
0.22045,7.0285e-06
0.22116,7.0665e-06
0.22187,7.0986e-06
0.22259,7.129e-06
0.2233,7.2752e-06
0.22402,7.376e-06
0.22473,7.4025e-06
0.22545,7.428e-06
0.22617,7.4522e-06
0.22689,7.4753e-06
0.22762,7.4979e-06
0.22834,7.5194e-06
0.22906,7.5399e-06
0.22979,7.5597e-06
0.23052,7.5784e-06
0.23125,7.5964e-06
0.23198,7.8162e-06
0.23271,7.8328e-06
0.23344,7.8493e-06
0.23417,7.8664e-06
0.23491,7.8836e-06
0.23564,7.8986e-06
0.23638,7.9119e-06
0.23712,7.9266e-06
0.23786,7.9401e-06
0.2386,7.9538e-06
0.23934,7.9682e-06
0.24008,7.9809e-06
0.24083,8.2011e-06
0.24157,8.2133e-06
0.24232,8.2255e-06
0.24307,8.2369e-06
0.24382,8.249e-06
0.24457,8.2599e-06
0.24532,8.2713e-06
0.24608,8.2824e-06
0.24683,8.2928e-06
0.24759,8.3038e-06
0.24834,8.3135e-06
0.2491,8.3248e-06
0.24986,8.334e-06
0.25062,8.5381e-06
0.25138,8.531e-06
0.25215,8.523e-06
0.25291,8.5158e-06
0.25368,8.5073e-06
0.25445,8.5e-06
0.25521,8.491e-06
0.25598,8.4839e-06
0.25676,8.4744e-06
0.25753,8.4671e-06
0.2583,8.4579e-06
0.25908,8.4495e-06
0.25985,8.6408e-06
0.26063,8.6305e-06
0.26141,8.6209e-06
0.26219,8.6108e-06
0.26297,8.6007e-06
0.26375,8.5908e-06
0.26454,8.5795e-06
0.26532,8.5705e-06
0.26611,8.5595e-06
0.2669,8.5491e-06
0.26768,8.5392e-06
0.26847,8.5273e-06
0.26927,8.7098e-06
0.27006,8.6989e-06
0.27085,8.6878e-06
0.27165,8.6766e-06
0.27244,8.6659e-06
0.27324,8.6525e-06
0.27404,8.6416e-06
0.27484,8.6321e-06
0.27564,8.6223e-06
0.27645,8.6103e-06
0.27725,8.5976e-06
0.27806,8.7846e-06
0.27886,8.7779e-06
0.27967,8.7657e-06
0.28048,8.4882e-06
0.28129,8.065e-06
0.2821,7.7474e-06
0.28292,7.9165e-06
0.28373,8.0911e-06
0.28455,8.2768e-06
0.28537,8.383e-06
0.28618,8.5871e-06
0.287,8.5901e-06
0.28782,8.5874e-06
0.28865,8.5946e-06
0.28947,8.5984e-06
0.2903,8.6091e-06
0.29112,8.6323e-06
0.29195,8.6558e-06
0.29278,8.6796e-06
0.29361,8.9215e-06
0.29444,8.946e-06
0.29527,8.9706e-06
0.29611,8.9956e-06
0.29694,9.0205e-06
0.29778,9.0457e-06
0.29862,9.0713e-06
0.29946,9.0957e-06
