$m_S$ [GeV$/c^{2}$],Observed limit
0.21271,8.5746e-07
0.21341,8.767e-07
0.2141,9.008e-07
0.2148,9.209e-07
0.21551,9.3043e-07
0.21621,9.3815e-07
0.21691,9.4459e-07
0.21762,9.503e-07
0.21832,9.5542e-07
0.21903,9.7322e-07
0.21974,9.8662e-07
0.22045,9.8945e-07
0.22116,9.912e-07
0.22187,9.9277e-07
0.22259,9.9399e-07
0.2233,9.9494e-07
0.22402,9.9568e-07
0.22473,9.9623e-07
0.22545,9.966e-07
0.22617,9.9683e-07
0.22689,1.0217e-06
0.22762,1.0217e-06
0.22834,1.0215e-06
0.22906,1.0212e-06
0.22979,1.0207e-06
0.23052,1.0202e-06
0.23125,1.0197e-06
0.23198,1.0191e-06
0.23271,1.0182e-06
0.23344,1.0175e-06
0.23417,1.0167e-06
0.23491,1.0413e-06
0.23564,1.0401e-06
0.23638,1.0389e-06
0.23712,1.0376e-06
0.23786,1.0363e-06
0.2386,1.0352e-06
0.23934,1.0339e-06
0.24008,1.0326e-06
0.24083,1.0313e-06
0.24157,1.0299e-06
0.24232,1.0285e-06
0.24307,1.0521e-06
0.24382,1.0503e-06
0.24457,1.0488e-06
0.24532,1.0471e-06
0.24608,1.0455e-06
0.24683,1.0438e-06
0.24759,1.0421e-06
0.24834,1.0404e-06
0.2491,1.0387e-06
0.24986,1.0369e-06
0.25062,1.0356e-06
0.25138,1.0342e-06
0.25215,1.0571e-06
0.25291,1.0557e-06
0.25368,1.0541e-06
0.25445,1.0528e-06
0.25521,1.0512e-06
0.25598,1.0499e-06
0.25676,1.0482e-06
0.25753,1.0468e-06
0.2583,1.0453e-06
0.25908,1.0437e-06
0.25985,1.0423e-06
0.26063,1.064e-06
0.26141,1.0622e-06
0.26219,1.0607e-06
0.26297,1.0588e-06
0.26375,1.0572e-06
0.26454,1.0556e-06
0.26532,1.0537e-06
0.26611,1.0521e-06
0.2669,1.0504e-06
0.26768,1.0486e-06
0.26847,1.0694e-06
0.26927,1.0676e-06
0.27006,1.0658e-06
0.27085,1.064e-06
0.27165,1.0623e-06
0.27244,1.0605e-06
0.27324,1.0585e-06
0.27404,1.0568e-06
0.27484,1.0552e-06
0.27564,1.0535e-06
0.27645,1.0517e-06
0.27725,1.073e-06
0.27806,1.0711e-06
0.27886,1.0698e-06
0.27967,1.0681e-06
0.28048,1.0678e-06
0.28129,1.0687e-06
0.2821,1.0682e-06
0.28292,1.0575e-06
0.28373,1.0471e-06
0.28455,1.0606e-06
0.28537,1.0566e-06
0.28618,1.0603e-06
0.287,1.064e-06
0.28782,1.0676e-06
0.28865,1.0708e-06
0.28947,1.0751e-06
0.2903,1.0764e-06
0.29112,1.0737e-06
0.29195,1.0958e-06
0.29278,1.0927e-06
0.29361,1.0897e-06
0.29444,1.0864e-06
0.29527,1.0832e-06
0.29611,1.08e-06
0.29694,1.077e-06
0.29778,1.0738e-06
0.29862,1.0707e-06
0.29946,1.0675e-06
0.3003,1.0648e-06
0.30114,1.0633e-06
0.30198,1.062e-06
0.30283,1.0608e-06
0.30367,1.0597e-06
0.30452,1.0583e-06
0.30537,1.0569e-06
0.30622,1.0555e-06
0.30707,1.0539e-06
0.30792,1.0525e-06
0.30878,1.0511e-06
0.30963,1.0498e-06
0.31049,1.0484e-06
0.31134,1.047e-06
0.3122,1.0456e-06
0.31306,1.0443e-06
0.31392,1.0429e-06
0.31479,1.067e-06
0.31565,1.0656e-06
0.31652,1.0642e-06
0.31738,1.0628e-06
0.31825,1.0614e-06
0.31912,1.06e-06
0.31999,1.0586e-06
0.32086,1.0572e-06
0.32174,1.0829e-06
0.32261,1.0804e-06
0.32349,1.0784e-06
0.32437,1.0773e-06
0.32524,1.0768e-06
0.32612,1.0755e-06
0.32701,1.0741e-06
0.32789,1.1007e-06
0.32877,1.0993e-06
0.32966,1.0978e-06
0.33054,1.0964e-06
0.33143,1.095e-06
0.33232,1.0935e-06
0.33321,1.0921e-06
0.3341,1.12e-06
0.335,1.1186e-06
0.33589,1.0877e-06
0.33679,1.0864e-06
0.33768,1.085e-06
0.33858,1.0836e-06
0.33948,1.0822e-06
0.34038,1.0807e-06
0.34129,1.078e-06
0.34219,1.0503e-06
0.3431,1.0486e-06
0.344,1.0473e-06
0.34491,1.0459e-06
0.34582,1.0446e-06
0.34673,1.0433e-06
0.34764,1.042e-06
0.34855,1.0407e-06
0.34947,1.0385e-06
0.35038,1.0127e-06
0.3513,1.0126e-06
0.35222,1.0121e-06
0.35314,1.0117e-06
0.35406,1.011e-06
0.35498,1.0109e-06
0.35591,1.0107e-06
0.35683,1.0094e-06
0.35776,1.0084e-06
0.35868,1.0095e-06
0.35961,1.0072e-06
0.36054,1.0087e-06
0.36148,1.0086e-06
0.36241,1.0083e-06
0.36334,1.0079e-06
0.36428,1.0077e-06
0.36522,1.0059e-06
0.36615,1.0067e-06
0.36709,1.0068e-06
0.36803,1.0318e-06
0.36898,1.0314e-06
0.36992,1.031e-06
0.37087,1.0303e-06
0.37181,1.0298e-06
0.37276,1.0292e-06
0.37371,1.0288e-06
0.37466,1.0282e-06
0.37561,1.028e-06
0.37656,1.0279e-06
0.37752,1.0277e-06
0.37847,1.0273e-06
0.37943,1.027e-06
0.38039,1.0267e-06
0.38135,1.0511e-06
0.38231,1.0508e-06
0.38327,1.0243e-06
0.38424,1.0254e-06
0.3852,1.0255e-06
0.38617,1.0251e-06
0.38713,1.0248e-06
0.3881,1.0243e-06
0.38907,1.0506e-06
0.39005,1.0502e-06
0.39102,1.0498e-06
0.39199,1.0494e-06
0.39297,1.049e-06
0.39395,1.0488e-06
0.39492,1.0482e-06
0.3959,1.048e-06
0.39688,1.0475e-06
0.39787,1.0471e-06
0.39885,1.0466e-06
0.39984,1.0454e-06
0.40082,1.075e-06
0.40181,1.0515e-06
0.4028,1.0556e-06
0.40379,1.06e-06
0.40478,1.0637e-06
0.40577,1.0673e-06
0.40677,1.071e-06
0.40776,1.1012e-06
0.40876,1.1073e-06
0.40976,1.1111e-06
0.41076,1.115e-06
0.41176,1.1189e-06
0.41276,1.1227e-06
0.41377,1.1268e-06
0.41477,1.1595e-06
0.41578,1.1637e-06
0.41679,1.1679e-06
0.4178,1.1721e-06
0.41881,1.1476e-06
0.41982,1.1809e-06
0.42083,1.1852e-06
0.42185,1.1897e-06
0.42286,1.1941e-06
0.42388,1.1986e-06
0.4249,1.2031e-06
0.42592,1.2077e-06
0.42694,1.2467e-06
0.42796,1.2514e-06
0.42898,1.2246e-06
0.43001,1.2293e-06
0.43104,1.2311e-06
0.43206,1.2358e-06
0.43309,1.2407e-06
0.43412,1.2456e-06
0.43515,1.2505e-06
0.43619,1.2556e-06
0.43722,1.2297e-06
0.43826,1.2319e-06
0.43929,1.2369e-06
0.44033,1.2502e-06
0.44137,1.2825e-06
0.44241,1.3165e-06
0.44346,1.3528e-06
0.4445,1.4227e-06
0.44555,1.4449e-06
0.44659,1.4795e-06
0.44764,1.5567e-06
0.44869,1.6425e-06
0.44974,1.7382e-06
0.45079,1.8971e-06
0.45184,2.1655e-06
0.4529,2.3773e-06
0.45395,2.7865e-06
0.45501,3.2527e-06
0.45607,3.1743e-06
0.45713,3.1698e-06
0.45819,3.0761e-06
0.45925,2.9878e-06
0.46032,2.8658e-06
0.46138,2.6251e-06
0.46245,2.432e-06
0.46352,2.2398e-06
0.46459,2.0796e-06
0.46566,1.9469e-06
0.46673,1.8352e-06
0.4678,1.7359e-06
0.46887,1.6464e-06
0.46995,1.565e-06
0.47103,1.4911e-06
0.47211,1.4631e-06
0.47319,1.4003e-06
0.47427,1.3428e-06
0.47535,1.2896e-06
0.47643,1.2071e-06
0.47752,1.1623e-06
0.4786,1.1212e-06
0.47969,1.0824e-06
0.48078,1.0463e-06
0.48187,1.0379e-06
0.48296,1.0052e-06
0.48406,9.5054e-07
0.48515,9.2632e-07
0.48625,9.487e-07
0.48734,9.7053e-07
0.48844,9.7178e-07
0.48954,9.5131e-07
0.49064,9.5004e-07
0.49174,9.4873e-07
0.49285,9.4729e-07
0.49395,9.9392e-07
0.49506,9.9315e-07
0.49616,9.7236e-07
0.49727,9.7128e-07
0.49838,9.6945e-07
0.4995,9.6826e-07
0.50061,1.0171e-06
0.50172,9.9632e-07
0.50284,9.9511e-07
0.50395,9.9591e-07
0.50507,9.955e-07
0.50619,1.0219e-06
0.50731,1.0278e-06
0.50843,1.0378e-06
0.50956,1.0411e-06
0.51068,1.0374e-06
0.51181,1.0353e-06
0.51293,1.0898e-06
0.51406,1.0883e-06
0.51519,1.0869e-06
0.51632,1.0583e-06
0.51746,1.0607e-06
0.51859,1.0892e-06
0.51973,1.0877e-06
0.52086,1.0863e-06
0.522,1.0849e-06
0.52314,1.0877e-06
0.52428,1.0861e-06
0.52542,1.0847e-06
0.52656,1.0833e-06
0.52771,1.118e-06
0.52885,1.1165e-06
0.53,1.115e-06
0.53115,1.1135e-06
0.5323,1.0761e-06
0.53345,1.0742e-06
0.5346,1.0723e-06
0.53575,1.0712e-06
0.53691,1.0367e-06
0.53806,1.0352e-06
0.53922,1.0337e-06
0.54038,1.0323e-06
0.54154,9.9903e-07
0.5427,1.0247e-06
0.54386,1.0247e-06
0.54503,1.0231e-06
0.54619,1.022e-06
0.54736,1.0471e-06
0.54853,1.0231e-06
0.54969,1.0173e-06
0.55086,1.0169e-06
0.55204,1.0157e-06
0.55321,1.018e-06
0.55438,1.0167e-06
0.55556,1.0118e-06
0.55674,1.0105e-06
0.55791,1.0091e-06
0.55909,1.0078e-06
0.56027,1.0064e-06
0.56145,9.7824e-07
0.56264,1.0215e-06
0.56382,9.7433e-07
0.56501,9.7303e-07
0.56619,9.7211e-07
0.56738,9.9711e-07
0.56857,1.0005e-06
0.56976,9.9905e-07
0.57096,9.9765e-07
0.57215,9.9621e-07
0.57334,1.023e-06
0.57454,1.026e-06
0.57574,1.0246e-06
0.57694,1.0235e-06
0.57814,1.0515e-06
0.57934,1.0546e-06
0.58054,1.0532e-06
0.58174,1.0518e-06
0.58295,1.0505e-06
0.58415,1.0491e-06
0.58536,1.0478e-06
0.58657,1.0464e-06
0.58778,1.045e-06
0.58899,1.0436e-06
0.5902,1.0422e-06
0.59142,1.0407e-06
0.59263,1.0393e-06
0.59385,1.0337e-06
