$m_S$ [GeV$/c^{2}$],Observed limit
0.21271,3.2442e-07
0.21341,3.3158e-07
0.2141,3.3516e-07
0.2148,3.3818e-07
0.21551,3.4071e-07
0.21621,3.4283e-07
0.21691,3.4469e-07
0.21762,3.4991e-07
0.21832,3.5404e-07
0.21903,3.5552e-07
0.21974,3.5678e-07
0.22045,3.5529e-07
0.22116,3.5222e-07
0.22187,3.4914e-07
0.22259,3.4601e-07
0.2233,3.4293e-07
0.22402,3.4386e-07
0.22473,3.4312e-07
0.22545,3.4002e-07
0.22617,3.3697e-07
0.22689,3.3394e-07
0.22762,3.3084e-07
0.22834,3.2781e-07
0.22906,3.2484e-07
0.22979,3.2191e-07
0.23052,3.1906e-07
0.23125,3.1613e-07
0.23198,3.193e-07
0.23271,3.1656e-07
0.23344,3.1366e-07
0.23417,3.1086e-07
0.23491,3.0819e-07
0.23564,3.0546e-07
0.23638,3.0269e-07
0.23712,3.0011e-07
0.23786,2.9742e-07
0.2386,2.9486e-07
0.23934,2.9235e-07
0.24008,2.9536e-07
0.24083,2.9279e-07
0.24157,2.9038e-07
0.24232,2.8778e-07
0.24307,2.8549e-07
0.24382,2.8293e-07
0.24457,2.8072e-07
0.24532,2.7823e-07
0.24608,2.7605e-07
0.24683,2.7364e-07
0.24759,2.7644e-07
0.24834,2.7437e-07
0.2491,2.7193e-07
0.24986,2.6989e-07
0.25062,2.6885e-07
0.25138,2.6843e-07
0.25215,2.6774e-07
0.25291,2.6721e-07
0.25368,2.6667e-07
0.25445,2.6601e-07
0.25521,2.656e-07
0.25598,2.698e-07
0.25676,2.6902e-07
0.25753,2.6862e-07
0.2583,2.6785e-07
0.25908,2.6726e-07
0.25985,2.6678e-07
0.26063,2.6602e-07
0.26141,2.6554e-07
0.26219,2.649e-07
0.26297,2.642e-07
0.26375,2.682e-07
0.26454,2.6773e-07
0.26532,2.6691e-07
0.26611,2.6628e-07
0.2669,2.6564e-07
0.26768,2.6503e-07
0.26847,2.6442e-07
0.26927,2.6378e-07
0.27006,2.6316e-07
0.27085,2.6255e-07
0.27165,2.6652e-07
0.27244,2.6593e-07
0.27324,2.6528e-07
0.27404,2.646e-07
0.27484,2.6403e-07
0.27564,2.635e-07
0.27645,2.6282e-07
0.27725,2.622e-07
0.27806,2.6158e-07
0.27886,2.6099e-07
0.27967,2.6514e-07
0.28048,2.6655e-07
0.28129,2.6934e-07
0.2821,2.7182e-07
0.28292,2.7099e-07
0.28373,2.7017e-07
0.28455,2.6934e-07
0.28537,2.688e-07
0.28618,2.6862e-07
0.287,2.7346e-07
0.28782,2.7312e-07
0.28865,2.7307e-07
0.28947,2.7289e-07
0.2903,2.7285e-07
0.29112,2.7333e-07
0.29195,2.7375e-07
0.29278,2.7418e-07
0.29361,2.799e-07
0.29444,2.8037e-07
0.29527,2.8081e-07
0.29611,2.8123e-07
0.29694,2.8167e-07
0.29778,2.8212e-07
0.29862,2.8257e-07
0.29946,2.8296e-07
0.3003,2.8339e-07
0.30114,2.8399e-07
0.30198,2.8467e-07
0.30283,2.8538e-07
0.30367,2.8606e-07
0.30452,2.867e-07
0.30537,2.8717e-07
0.30622,2.8782e-07
0.30707,2.8847e-07
0.30792,2.8913e-07
0.30878,2.9002e-07
0.30963,2.9069e-07
0.31049,2.9134e-07
0.31134,2.9205e-07
0.3122,2.927e-07
0.31306,2.934e-07
0.31392,2.9409e-07
0.31479,2.9479e-07
0.31565,3.0133e-07
0.31652,3.0207e-07
0.31738,3.0279e-07
0.31825,3.0353e-07
0.31912,3.0425e-07
0.31999,3.05e-07
0.32086,3.0574e-07
0.32174,3.0647e-07
0.32261,3.1343e-07
0.32349,3.1397e-07
0.32437,3.1491e-07
0.32524,3.1588e-07
0.32612,3.1668e-07
0.32701,3.175e-07
0.32789,3.1831e-07
0.32877,3.2589e-07
0.32966,3.2672e-07
0.33054,3.2754e-07
0.33143,3.2838e-07
0.33232,3.2923e-07
0.33321,3.3008e-07
0.3341,3.3093e-07
0.335,3.3177e-07
0.33589,3.3263e-07
0.33679,3.3351e-07
0.33768,3.3441e-07
0.33858,3.3529e-07
0.33948,3.3618e-07
0.34038,3.3709e-07
0.34129,3.38e-07
0.34219,3.318e-07
0.3431,3.326e-07
