$m_S$ [GeV$/c^{2}$],Observed limit
0.21271,1.2024e-07
0.21341,1.2509e-07
0.2141,1.2698e-07
0.2148,1.2806e-07
0.21551,1.2885e-07
0.21621,1.2945e-07
0.21691,1.2988e-07
0.21762,1.3186e-07
0.21832,1.3335e-07
0.21903,1.3351e-07
0.21974,1.336e-07
0.22045,1.3388e-07
0.22116,1.3425e-07
0.22187,1.3461e-07
0.22259,1.3492e-07
0.2233,1.352e-07
0.22402,1.3546e-07
0.22473,1.3771e-07
0.22545,1.3914e-07
0.22617,1.3933e-07
0.22689,1.395e-07
0.22762,1.3966e-07
0.22834,1.3979e-07
0.22906,1.3991e-07
0.22979,1.4003e-07
0.23052,1.4013e-07
0.23125,1.4021e-07
0.23198,1.4028e-07
0.23271,1.4374e-07
0.23344,1.4378e-07
0.23417,1.4384e-07
0.23491,1.439e-07
0.23564,1.4393e-07
0.23638,1.4392e-07
0.23712,1.4393e-07
0.23786,1.4394e-07
0.2386,1.4394e-07
0.23934,1.4394e-07
0.24008,1.4392e-07
0.24083,1.4732e-07
0.24157,1.4728e-07
0.24232,1.4725e-07
0.24307,1.4721e-07
0.24382,1.4717e-07
0.24457,1.4712e-07
0.24532,1.4708e-07
0.24608,1.4702e-07
0.24683,1.4696e-07
0.24759,1.4691e-07
0.24834,1.4685e-07
0.2491,1.5013e-07
0.24986,1.5006e-07
0.25062,1.4999e-07
0.25138,1.4994e-07
0.25215,1.4988e-07
0.25291,1.4982e-07
0.25368,1.4976e-07
0.25445,1.4969e-07
0.25521,1.4964e-07
0.25598,1.4956e-07
0.25676,1.4949e-07
0.25753,1.5272e-07
0.2583,1.526e-07
0.25908,1.5253e-07
0.25985,1.5243e-07
0.26063,1.5233e-07
0.26141,1.5226e-07
0.26219,1.5215e-07
0.26297,1.5206e-07
0.26375,1.5197e-07
0.26454,1.5186e-07
0.26532,1.5178e-07
0.26611,1.5482e-07
0.2669,1.547e-07
0.26768,1.546e-07
0.26847,1.5449e-07
0.26927,1.5437e-07
0.27006,1.5427e-07
0.27085,1.5416e-07
0.27165,1.5404e-07
0.27244,1.5394e-07
0.27324,1.538e-07
0.27404,1.5695e-07
0.27484,1.5686e-07
0.27564,1.568e-07
0.27645,1.5664e-07
0.27725,1.5649e-07
0.27806,1.5659e-07
0.27886,1.5629e-07
0.27967,1.5616e-07
0.28048,1.5557e-07
0.28129,1.5465e-07
0.2821,1.5737e-07
0.28292,1.5842e-07
0.28373,1.5948e-07
0.28455,1.6057e-07
0.28537,1.6098e-07
0.28618,1.6054e-07
0.287,1.6009e-07
0.28782,1.5964e-07
0.28865,1.5919e-07
0.28947,1.6235e-07
0.2903,1.6202e-07
0.29112,1.6193e-07
0.29195,1.6184e-07
0.29278,1.6174e-07
0.29361,1.6165e-07
0.29444,1.6155e-07
0.29527,1.6144e-07
0.29611,1.6514e-07
0.29694,1.6504e-07
0.29778,1.6494e-07
0.29862,1.6484e-07
0.29946,1.6471e-07
0.3003,1.645e-07
0.30114,1.6423e-07
0.30198,1.6028e-07
0.30283,1.6007e-07
0.30367,1.5985e-07
0.30452,1.6309e-07
0.30537,1.6284e-07
0.30622,1.6258e-07
0.30707,1.6233e-07
0.30792,1.6208e-07
0.30878,1.6183e-07
0.30963,1.6158e-07
0.31049,1.579e-07
0.31134,1.5766e-07
0.3122,1.6109e-07
0.31306,1.6084e-07
0.31392,1.6059e-07
0.31479,1.6034e-07
0.31565,1.6009e-07
0.31652,1.5984e-07
0.31738,1.596e-07
0.31825,1.5936e-07
0.31912,1.6291e-07
0.31999,1.6266e-07
0.32086,1.6243e-07
0.32174,1.6215e-07
0.32261,1.6192e-07
0.32349,1.6163e-07
0.32437,1.6122e-07
0.32524,1.6512e-07
0.32612,1.6489e-07
0.32701,1.6462e-07
0.32789,1.6435e-07
0.32877,1.641e-07
0.32966,1.6384e-07
0.33054,1.6358e-07
0.33143,1.6748e-07
0.33232,1.6722e-07
0.33321,1.6696e-07
